Date,BTS.BK_forecast,BTS.BK
2020-01-02,12.476174838475748,12.666060447692871
2020-01-03,12.475782033486416,12.571538925170898
2020-01-06,12.51952079105257,12.38249397277832
2020-01-07,12.534764131658891,12.760584831237793
2020-01-08,12.54507260512572,12.666060447692871
2020-01-09,12.570681954031757,12.855108261108398
2020-01-10,12.572723251273592,12.666060447692871
2020-01-13,12.672457885117641,12.760584831237793
2020-01-14,12.683475667498435,12.666060447692871
2020-01-15,12.665464975807032,12.666060447692871
2020-01-16,12.679003874463143,12.855108261108398
2020-01-17,12.661462004018889,13.04415225982666
2020-01-20,12.667379890227732,12.855108261108398
2020-01-21,12.694789019412442,12.666060447692871
2020-01-22,12.670872172035875,12.760584831237793
2020-01-23,12.739914819878106,12.855108261108398
2020-01-24,12.758289213460804,12.949629783630371
2020-01-27,12.742054311617046,12.6431303024292
2020-01-28,12.775667650554427,12.451567649841309
2020-01-29,12.774700953781567,12.068443298339844
2020-01-30,12.779778455022697,12.164223670959473
2020-01-31,12.187748951057635,11.972661018371582
2020-02-03,12.194781413479625,11.972661018371582
2020-02-04,12.206826779949326,12.355786323547363
2020-02-05,12.226056629666648,12.260005950927734
2020-02-06,12.262823697688885,12.260005950927734
2020-02-07,12.202054582045534,12.547348976135254
2020-02-11,12.181936452552142,12.355786323547363
2020-02-12,12.379307205535655,12.451567649841309
2020-02-13,12.350985830201845,12.260005950927734
2020-02-14,12.380712554967443,12.164223670959473
2020-02-17,12.378964856489247,12.355786323547363
2020-02-18,12.347611445913017,12.260005950927734
2020-02-19,12.39621345085419,12.355786323547363
2020-02-20,12.396650004336745,12.068443298339844
2020-02-21,12.11561123805271,12.355786323547363
2020-02-24,12.133059087585925,11.685317993164062
2020-02-25,12.125706155314028,11.685317993164062
2020-02-26,12.110015675742298,11.014848709106445
2020-02-27,12.077144844659813,11.11063003540039
2020-02-28,12.112429163882064,10.440160751342773
2020-03-02,12.095969485069306,10.344380378723145
2020-03-03,10.346399673265712,11.014848709106445
2020-03-04,10.356948984150234,11.014848709106445
2020-03-05,10.305789145564217,11.11063003540039
2020-03-06,10.331836849263674,10.919066429138184
2020-03-09,10.336555241629165,10.535942077636719
2020-03-10,10.328851506195088,10.823286056518555
2020-03-11,10.283009644120135,10.440160751342773
2020-03-12,10.478740621524807,9.29078483581543
2020-03-13,10.39651177080111,9.434457778930664
2020-03-16,10.46726465278467,8.237191200256348
2020-03-17,10.504863109856432,8.237191200256348
2020-03-18,10.444012453378729,8.380863189697266
2020-03-19,10.420226706222687,8.428753852844238
2020-03-20,10.35944167748968,9.051331520080566
2020-03-23,9.068911654540072,8.141409873962402
2020-03-24,9.222092024012342,7.901956558227539
2020-03-25,9.334514112463632,8.237191200256348
2020-03-26,9.216004593412512,8.524535179138184
2020-03-27,9.2612368444741,8.572425842285156
2020-03-30,9.216679890349877,8.476644515991211
2020-03-31,9.171469408097147,8.716097831726074
2020-04-01,8.867603787981352,8.524535179138184
2020-04-02,8.818592649850668,8.476644515991211
2020-04-03,8.847996051152512,8.428753852844238
2020-04-07,8.835030440293579,9.673911094665527
2020-04-08,8.901308594243844,9.434457778930664
2020-04-09,8.945316556829642,9.673911094665527
2020-04-10,8.92451511378625,9.865472793579102
2020-04-13,9.875237587872457,10.440160751342773
2020-04-14,9.996911640773824,10.919066429138184
2020-04-15,9.84864153841132,10.535942077636719
2020-04-16,9.940749880943867,10.248598098754883
2020-04-17,10.027672709944296,10.72750473022461
2020-04-20,9.960715235972206,11.014848709106445
2020-04-21,9.90724535858681,10.481088638305664
2020-04-22,10.51228472309522,10.675183296203613
2020-04-23,10.568378913461052,10.675183296203613
2020-04-24,10.719810122184809,10.57813549041748
2020-04-27,10.661471205099112,10.77223014831543
2020-04-28,10.586008594700537,10.966325759887695
2020-04-29,10.688430924912092,10.869277954101562
2020-04-30,10.744824814063348,11.160419464111328
2020-05-05,11.099471309223373,10.966325759887695
2020-05-07,11.205902504592823,11.257467269897461
2020-05-08,11.26566661458804,11.354513168334961
2020-05-11,11.31054899458846,11.451560974121094
2020-05-12,11.32360454374047,11.451560974121094
2020-05-13,11.344923454630411,11.451560974121094
2020-05-14,11.386194495025618,11.257467269897461
2020-05-15,11.250966717918645,11.354513168334961
2020-05-18,11.201552294705154,11.354513168334961
2020-05-19,11.125745957722986,11.645654678344727
2020-05-20,11.129181597233282,11.54860782623291
2020-05-21,11.114012433495162,11.54860782623291
2020-05-22,11.138779945983394,11.354513168334961
2020-05-25,11.149127149578439,11.645654678344727
2020-05-26,11.553258350378046,11.645654678344727
2020-05-27,11.590336348681522,11.54860782623291
2020-05-28,11.570929991426924,11.74270248413086
2020-05-29,11.61144713767264,11.74270248413086
2020-06-01,11.643424047532276,11.74270248413086
2020-06-02,11.67727607075144,11.54860782623291
2020-06-04,11.706538616222838,11.451560974121094
2020-06-05,11.483191755813806,11.645654678344727
2020-06-08,11.552426113835809,11.645654678344727
2020-06-09,11.532763412043048,11.54860782623291
2020-06-10,11.664516848259952,11.451560974121094
2020-06-11,11.68010132102663,11.354513168334961
2020-06-12,11.668448701750538,11.354513168334961
2020-06-15,11.62912162281597,10.966325759887695
2020-06-16,10.961650339766265,11.257467269897461
2020-06-17,10.99255383251714,11.160419464111328
2020-06-18,10.940890116199304,11.354513168334961
2020-06-19,10.893374522359744,11.257467269897461
2020-06-22,10.83946728247362,11.160419464111328
2020-06-23,10.878712685142,11.160419464111328
2020-06-24,10.847000027323173,11.063371658325195
2020-06-25,11.053947999299323,10.869277954101562
