Date,Trend(VAR) Percent Error,Trend(CNN-LSTM) Percent Error
2020-01-02,,
2020-01-03,,
2020-01-06,,
2020-01-07,,
2020-01-08,,
2020-01-09,,
2020-01-10,5.506978970685146,0.6790213465386775
2020-01-13,5.163337585522379,0.12104988403905659
2020-01-14,4.562013619339754,0.24731471206060585
2020-01-15,3.5416724178790657,0.1271783510882331
2020-01-16,2.6247232652907195,0.21929090492477976
2020-01-17,1.672741386394985,0.1908530418745106
2020-01-20,0.790320114901896,0.013525719074340125
2020-01-21,0.003117633839699356,0.23699084498761194
2020-01-22,0.012373924076918568,0.5181571955808457
2020-01-23,0.23588743583465654,0.4975996390947611
2020-01-24,0.45496233937636804,0.6595819863009118
2020-01-27,1.3774923549035543,0.11821337725543071
2020-01-28,2.247564209196248,0.025788839592918045
2020-01-29,2.7746456851552943,0.1270155371788732
2020-01-30,3.249777204073481,0.2077055302700863
2020-01-31,3.3576018163572905,0.2917955758565471
2020-02-03,3.1652460127231956,0.07185166889811949
2020-02-04,3.006700740950929,0.06400036972015413
2020-02-05,2.1178202022229717,0.323930782244756
2020-02-06,1.225591264811775,0.6806106229429945
2020-02-07,0.776899447307092,0.5938556309738902
2020-02-11,0.1722118807491555,0.6539118675445327
2020-02-12,0.17370234138761434,1.0888855473484536
2020-02-13,0.5358163655695549,1.1371530006319712
2020-02-14,0.9322300235735936,1.0848517000719984
2020-02-17,1.2761468416475514,1.088241072072694
2020-02-18,1.370464815570474,0.7681628417716547
2020-02-19,1.7182225963499917,0.6848797295250966
2020-02-20,2.1220914358749896,0.6210490721437961
2020-02-21,1.7696593753372667,0.23297941103515196
2020-02-24,0.756091381151821,0.41715325742137405
2020-02-25,0.3180873079231679,0.505284577805178
2020-02-26,2.048538808588408,0.1527168543390561
2020-02-27,3.560795078848457,0.4966515157225417
2020-02-28,6.378252295780869,0.3186030220721136
2020-03-02,9.362382108717435,1.2726112125086755
2020-03-03,8.97963090427751,1.260451506393619
2020-03-04,8.090165770136814,0.03397009554907608
2020-03-05,7.153574634996393,1.4479363093036475
2020-03-06,5.869369057876547,3.2750594632361887
2020-03-09,9.362687643927755,1.5152003624396952
2020-03-10,12.524175364337378,0.35959395363347996
2020-03-11,15.969917946227685,1.0262484159215433
2020-03-12,20.091853342675368,5.072817114275134
2020-03-13,23.334775321927324,7.5452033597908414
2020-03-16,28.890888073440635,11.558230004280645
2020-03-17,34.96927627421922,16.05398369579032
2020-03-18,32.331397355569514,12.921950070857816
2020-03-19,28.568564590910768,9.046106830077907
2020-03-20,22.42676129311199,4.281764282105879
2020-03-23,21.038230409765113,2.3796437210353774
2020-03-24,19.943914028871347,1.328725745837315
2020-03-25,14.517869645854672,2.521348491372555
2020-03-26,8.902182790515912,2.9158333435133863
2020-03-27,4.0039814183444165,0.7651427456316828
2020-03-30,0.545786096343191,0.6632105376959255
2020-03-31,4.170694405452973,2.380782433892376
2020-04-01,5.562104280669017,2.947505149155771
2020-04-02,7.487458920108335,1.480124654098182
2020-04-03,8.349517482235914,1.1107430720989027
2020-04-07,10.456491182771861,0.7840374004912701
2020-04-08,12.307569944121553,1.7506760881201355
2020-04-09,13.86161907773544,2.008144461148955
2020-04-10,14.507035677238273,1.9213550385066103
2020-04-13,14.280120070977867,1.4198175650618938
2020-04-14,13.026559702334461,1.7007904326454548
2020-04-15,11.08119734119158,1.2084774978707962
2020-04-16,6.981207465478074,0.632991313862894
2020-04-17,3.5765351343642546,1.1276484526842403
2020-04-20,1.0427837417850196,0.7280970682666078
2020-04-21,1.8320663113039457,0.7677587335967598
2020-04-22,3.2792822352930884,1.0977822731569862
2020-04-23,3.5788097500411777,1.9158617817632422
2020-04-24,4.087738892376958,1.7570741403437125
2020-04-27,2.9833025974387106,0.7527916351381425
2020-04-28,1.4387970042772762,0.18295994979160674
2020-04-29,0.5852144574039239,0.1564453526996397
2020-04-30,2.1959448226825478,2.170126138684544
2020-05-05,3.421162317173217,4.08976828701898
2020-05-07,4.647885200168254,4.007021018346725
2020-05-08,5.947630745711567,3.9954336686774923
2020-05-11,6.097097258574521,3.5543548014970936
2020-05-12,5.362038949828478,3.158486419709946
2020-05-13,5.250134320955058,2.2904598099544953
2020-05-14,3.470260211458634,0.3608149914295801
2020-05-15,3.501245326936858,1.6017606573774557
2020-05-18,2.5962613214197328,1.7985933760504995
2020-05-19,2.576088178371731,1.6357208770346494
2020-05-20,3.154744532468387,1.3434691456111758
2020-05-21,3.881590441193102,1.0669510994722604
2020-05-22,3.657581110521334,1.5668082892993356
2020-05-25,3.9566409267890013,1.5348637999425536
2020-05-26,4.089055093000585,1.58506081277924
2020-05-27,3.723356545489085,1.3659047178744086
2020-05-28,2.6110525826326816,1.8676632967609197
2020-05-29,1.359404270206167,2.4305456636896916
2020-06-01,0.37519971434835436,2.4323238895628894
2020-06-02,0.4990703287143414,1.2832398786564043
2020-06-04,1.0445836691806922,0.23883574319540565
2020-06-05,1.8160070378110582,2.542659429826399
2020-06-08,3.152481007933284,3.5554279412129706
2020-06-09,3.9455835063957196,3.79906269614508
2020-06-10,4.886382731325272,3.9912763498826047
2020-06-11,5.1277690131063,3.1950274315895095
2020-06-12,4.595026590860641,1.7030009318562758
2020-06-15,2.79975472307462,0.7488980380258038
2020-06-16,2.82404382747782,3.236353478758546
2020-06-17,2.301109113862033,4.289569612671339
2020-06-18,2.6926913270949813,4.217993519465664
2020-06-19,3.102614224187432,3.9755786490845804
2020-06-22,3.828822239015329,3.028012759038277
2020-06-23,5.044750812126497,1.5616605439278162
2020-06-24,6.4845478981941165,0.14284625734832143
2020-06-25,5.391978587072807,0.1591506326852546
2020-06-26,4.631193580858101,0.22112791034579957
2020-06-29,3.680602438372212,0.09279989670938307
2020-06-30,2.555011258969707,0.27316760949495783
2020-07-01,1.960137166479424,0.08351308839846378
2020-07-02,1.291458929727983,0.08006888260473427
2020-07-03,1.063455184562584,0.6314456911987115
2020-07-07,1.1510735726929786,1.4864468509337214
2020-07-08,0.5705062242460394,1.6108444497956922
2020-07-09,0.16326968579933637,1.7577084247507246
2020-07-10,0.37298011413618576,1.687523128887933
2020-07-13,1.3435510848628875,1.1804225284576386
2020-07-14,2.3024363568775756,0.7505013337775749
2020-07-15,2.826180945713317,0.7609370999420553
2020-07-16,3.167385773999256,0.5318546424437123
2020-07-17,3.0418396680574165,0.5673997786630846
2020-07-20,2.9369320428721983,0.603128307917663
2020-07-21,2.241605462918547,1.2142712676801706
2020-07-22,1.9279437258722283,1.2557876427691468
