Date,PTTEP.BK_forecast,PTTEP.BK
2020-01-02,116.75920325554893,118.88854217529297
2020-01-03,116.45985840850517,121.21969604492188
2020-01-06,116.32470536999641,124.48330688476562
2020-01-07,116.66383515641512,124.01707458496094
2020-01-08,115.90553061197235,124.94953155517578
2020-01-09,115.82966913522573,124.01707458496094
2020-01-10,116.31168170423425,122.6183853149414
2020-01-13,122.27326518993816,122.6183853149414
2020-01-14,122.0799262855409,123.08460998535156
2020-01-15,122.68390700734271,122.15215301513672
2020-01-16,122.6250091884256,122.6183853149414
2020-01-17,121.55500271936717,123.08460998535156
2020-01-20,122.10126505059762,123.08460998535156
2020-01-21,123.00593555532207,122.6183853149414
2020-01-22,121.97641503323793,122.15215301513672
2020-01-23,122.14602686295491,120.2872314453125
2020-01-24,121.86213799410159,119.82100677490234
2020-01-27,121.35454880896555,114.22624969482422
2020-01-28,121.46527778694579,115.62493133544922
2020-01-29,121.06137187676369,117.9560775756836
2020-01-30,121.26905904778856,117.48985290527344
2020-01-31,117.69526949810528,116.0911636352539
2020-02-03,117.74876096593201,116.5573959350586
2020-02-04,118.30659195558485,116.0911636352539
2020-02-05,118.38602010285955,116.0911636352539
2020-02-06,117.27820732320974,117.02362823486328
2020-02-07,117.52371757823175,116.0911636352539
2020-02-11,117.68382174468066,117.02362823486328
2020-02-12,116.31762479724824,118.88854217529297
2020-02-13,115.75748842200346,119.12872314453125
2020-02-14,116.25259651542338,119.12872314453125
2020-02-17,117.0169380328498,119.12872314453125
2020-02-18,117.58378269769518,118.64836883544922
2020-02-19,117.80400512189975,120.08943939208984
2020-02-20,116.96450177783315,121.05015563964844
2020-02-21,121.43992516995637,120.56979370117188
2020-02-24,120.69554463586259,115.2858657836914
2020-02-25,120.83139636647472,114.32514953613281
2020-02-26,120.85366489659856,109.04121398925781
2020-02-27,120.96341906442746,110.48229217529297
2020-02-28,120.0989915025636,101.83584594726562
2020-03-02,121.35952755918218,102.79656219482422
2020-03-03,104.11260443108048,107.60014343261719
2020-03-04,102.77781347875725,105.67870330810547
2020-03-05,103.56550499423503,105.19834899902344
2020-03-06,102.82478990081975,102.31620788574219
2020-03-09,102.8027660888085,71.81349182128906
2020-03-10,103.90075110759189,67.7304458618164
2020-03-11,104.49473870957313,69.41169738769531
2020-03-12,70.85003938277323,57.6429328918457
2020-03-13,71.21456013724408,63.64740753173828
2020-03-16,70.59791929696766,55.96167755126953
2020-03-17,70.80771679229973,55.72150421142578
2020-03-18,70.1357511649991,54.76078796386719
2020-03-19,69.59917733106121,52.839351654052734
2020-03-20,70.1877637780113,60.765254974365234
2020-03-23,59.47685979505963,53.31970977783203
2020-03-24,58.09062681005647,56.922393798828125
2020-03-25,59.5067395747097,63.64740753173828
2020-03-26,60.41744589138341,64.60812377929688
2020-03-27,60.3260588779575,61.96615219116211
2020-03-30,61.57670717681713,60.52507781982422
2020-03-31,62.35040465650373,64.84830474853516
2020-04-01,63.41285824048596,64.3679428100586
2020-04-02,66.09057299705779,72.2938461303711
2020-04-03,67.41123974282677,75.89652252197266
2020-04-07,67.45742741857148,83.34207153320312
2020-04-08,68.531306595303,79.49921417236328
2020-04-09,69.48729995211097,76.6170654296875
2020-04-10,71.11536652672484,76.6170654296875
2020-04-13,72.92482981048268,76.37688446044922
2020-04-14,73.57269704118796,77.33760070800781
2020-04-15,73.47770934832151,75.17598724365234
2020-04-16,74.17553553619969,71.09294891357422
2020-04-17,77.18831316000399,73.49473571777344
2020-04-20,77.47837835814687,75.89652252197266
2020-04-21,77.31070173411848,73.25455474853516
2020-04-22,79.18604440049587,71.81349182128906
2020-04-23,72.5599196363435,73.01437377929688
2020-04-24,74.88456003004352,73.25455474853516
2020-04-27,71.78353646645454,73.97509002685547
2020-04-28,64.60636892858284,73.97509002685547
2020-04-29,71.42695422078235,75.17598724365234
2020-04-30,69.27229245424125,81.18045806884766
2020-05-05,81.77784607207893,80.70011138916016
2020-05-07,73.40730758011942,79.259033203125
2020-05-08,75.67620959285425,79.73939514160156
2020-05-11,77.86370722908048,79.73939514160156
2020-05-12,78.9677674445168,80.70011138916016
2020-05-13,81.02376121502923,80.2197494506836
2020-05-14,76.2467969980636,78.53849792480469
2020-05-15,80.7551185448583,80.2197494506836
2020-05-18,73.39980386680189,82.14117431640625
2020-05-19,75.59499524709548,84.54296875
2020-05-20,77.25818061097782,85.02332305908203
2020-05-21,69.37310030073495,85.5036849975586
2020-05-22,65.05298559587763,81.18045806884766
2020-05-25,70.63965166091955,82.14117431640625
2020-05-26,83.82048358762914,83.5822525024414
2020-05-27,77.42644597226263,83.10189056396484
2020-05-28,82.79755829074219,80.94027709960938
2020-05-29,81.52969749516753,80.70011138916016
2020-06-01,79.16898273932944,83.34207153320312
2020-06-02,82.00057003232372,85.5036849975586
2020-06-04,80.75821283710201,89.10636138916016
2020-06-05,89.49528859899127,94.87065887451172
2020-06-08,82.570138979474,97.51262664794922
2020-06-09,85.32447459845675,91.74832916259766
2020-06-10,84.63210993217933,92.4688720703125
2020-06-11,88.7576626974777,89.82689666748047
2020-06-12,94.87074548197823,87.42511749267578
2020-06-15,94.42041290413879,83.5822525024414
2020-06-16,86.30598744704209,90.30725860595703
2020-06-17,78.0215219419256,90.06707763671875
2020-06-18,75.71506741580905,90.30725860595703
2020-06-19,78.51451544921306,91.74832916259766
2020-06-22,81.16192941141641,91.98851013183594
2020-06-23,81.03426082156982,92.4688720703125
2020-06-24,81.76815196116618,89.10636138916016
2020-06-25,89.05715866156112,87.66529846191406
