Date,Forcast,Actuals
2020-01-02,25.73373416892608,26.544832229614254
2020-01-03,26.012577935735695,26.544832229614254
2020-01-06,25.806340107784425,26.070816040039062
2020-01-07,26.145901307435484,26.307825088500977
2020-01-08,25.752524995444336,25.833808898925785
2020-01-09,25.635235454146684,26.070816040039062
2020-01-10,26.003497845400435,26.544832229614254
2020-01-13,26.032047802986884,26.307825088500977
2020-01-14,26.281187696666112,25.5968017578125
2020-01-15,26.075760483041908,25.833808898925785
2020-01-16,26.43552201024261,25.5968017578125
2020-01-17,26.075858785152466,25.833808898925785
2020-01-20,25.879608451633917,26.307825088500977
2020-01-21,26.24713887024905,26.307825088500977
2020-01-22,26.345626998647308,26.307825088500977
2020-01-23,26.741362561291854,26.544832229614254
2020-01-24,26.477453153586286,27.01884651184082
2020-01-27,26.811911717529288,26.544832229614254
2020-01-28,26.620042633461313,26.070816040039062
2020-01-29,26.349734514528482,26.070816040039062
2020-01-30,26.644533470051787,27.255853652954105
2020-01-31,26.79497653239034,27.729869842529297
2020-02-03,27.437612212933548,26.78183937072754
2020-02-04,27.09307541414808,27.01884651184082
2020-02-05,27.23334496421393,27.255853652954105
2020-02-06,27.327669620145006,27.01884651184082
2020-02-07,27.04842810787267,27.729869842529297
2020-02-11,27.305339917646652,27.729869842529297
2020-02-12,27.236023318641603,27.966875076293945
2020-02-13,27.743796065199664,27.966875076293945
2020-02-14,27.24887064832149,27.966875076293945
2020-02-17,27.210118443999253,27.966875076293945
2020-02-18,27.500555810494095,27.729869842529297
2020-02-19,27.19397421276526,27.966875076293945
2020-02-20,27.456259367136372,27.966875076293945
2020-02-21,27.032707331884158,27.966875076293945
2020-02-24,27.338278686384488,27.01884651184082
2020-02-25,26.731914972297123,26.307825088500977
2020-02-26,26.649831197640797,25.35979461669922
2020-02-27,26.942345007178663,27.01884651184082
2020-02-28,26.55041298004264,26.070816040039062
2020-03-02,26.833262935942546,26.070816040039062
2020-03-03,26.19967709893135,26.070816040039062
2020-03-04,26.16680941018115,26.070816040039062
2020-03-05,25.38401004338346,26.307825088500977
2020-03-06,25.403417904687988,26.307825088500977
2020-03-09,25.461919759191463,25.833808898925785
2020-03-10,25.1142463669091,25.122787475585938
2020-03-11,25.419788986946347,25.35979461669922
2020-03-12,24.69033590703839,24.41176414489746
2020-03-13,23.587655423123408,24.41176414489746
2020-03-16,23.13807903835601,22.654117584228516
2020-03-17,23.286001029643785,22.458824157714844
2020-03-18,22.73986928720572,22.361175537109375
2020-03-19,22.658833564281963,22.165884017944336
2020-03-20,23.12060243543891,22.165884017944336
2020-03-23,22.24024502944286,20.7011775970459
2020-03-24,21.588015062909164,20.60352897644043
2020-03-25,21.408783093238497,20.994117736816406
2020-03-26,21.802153355868995,20.994117736816406
2020-03-27,21.05307463767312,21.18941307067871
2020-03-30,21.394989038616927,21.18941307067871
2020-03-31,21.531739373124793,21.97058868408203
2020-04-01,21.25188990010716,21.287057876586914
2020-04-02,22.09687820672434,21.677648544311523
2020-04-03,21.68820306165,21.677648544311523
2020-04-07,22.03270356427157,22.55647087097168
2020-04-08,21.778557824654683,22.947059631347656
2020-04-09,22.205064972584296,23.337646484375
2020-04-10,21.926352779368813,23.239999771118164
2020-04-13,22.14048804764832,23.43529510498047
2020-04-14,23.19059656283673,24.118824005126953
2020-04-15,22.746150035900314,23.728235244750977
2020-04-16,23.05170626699902,23.044706344604492
2020-04-17,23.09367219416643,23.142353057861328
2020-04-20,23.25324979108609,23.239999771118164
2020-04-21,22.91100267530655,23.239999771118164
2020-04-22,23.297124291538495,23.92352867126465
2020-04-23,23.90238853432777,24.21647071838379
2020-04-24,23.63495083702324,23.92352867126465
2020-04-27,23.885314213893878,23.825881958007812
2020-04-28,23.961554306162554,23.728235244750977
2020-04-29,23.92490879168659,24.021177291870117
2020-04-30,23.717786244740296,23.92352867126465
2020-05-05,24.118645615855172,23.532941818237305
2020-05-07,24.111546691132702,23.239999771118164
2020-05-08,24.135101389162628,23.239999771118164
2020-05-11,24.36350709921487,23.43529510498047
2020-05-12,24.2874681481878,23.825881958007812
2020-05-13,24.15180367391656,23.92352867126465
2020-05-14,24.144216263321624,23.825881958007812
2020-05-15,24.52577968630399,23.825881958007812
2020-05-18,24.646323783631203,24.41176414489746
2020-05-19,24.64443940778881,25.14411735534668
2020-05-20,24.883278752621692,25.388235092163086
2020-05-21,24.751018556056096,24.899999618530273
2020-05-22,24.663909275039998,24.899999618530273
2020-05-25,24.735151083071827,25.14411735534668
2020-05-26,25.058905303345114,26.852941513061523
2020-05-27,25.635533385158684,26.608823776245117
2020-05-28,25.441767826527016,26.120588302612305
2020-05-29,25.678662301911007,25.8764705657959
2020-06-01,25.562420812345923,25.8764705657959
2020-06-02,25.586849642989737,26.608823776245117
2020-06-04,25.705037514343875,27.097059249877933
2020-06-05,25.84879905784479,27.097059249877933
2020-06-08,26.25710216723917,26.852941513061523
2020-06-09,26.05722372967094,26.608823776245117
2020-06-10,26.291199388541433,27.097059249877933
2020-06-11,26.0809221000163,27.097059249877933
2020-06-12,26.126618970364436,26.608823776245117
2020-06-15,26.38922171616966,26.852941513061523
2020-06-16,26.35006874170438,26.852941513061523
2020-06-17,26.232677873615845,26.608823776245117
2020-06-18,26.196995719823352,26.852941513061523
2020-06-19,26.483514612957325,26.120588302612305
2020-06-22,26.076061438734232,25.8764705657959
2020-06-23,26.016358786141783,26.608823776245117
2020-06-24,26.448696005397583,26.120588302612305
2020-06-25,26.39073556867226,25.632352828979496
2020-06-26,26.11213831330912,25.388235092163086
