Date,CPF.BK_forecast,Forcast,Actuals
2020-01-02,,,
2020-01-03,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,26.473414705011855,25.992289560153807,26.51541546412877
2020-01-13,26.685499672037945,26.111294701485622,26.549673625401088
2020-01-14,26.897927773278337,26.275527335863508,26.652446746826172
2020-01-15,27.099230222996827,26.454902486850767,26.686704090663365
2020-01-16,27.323977107854283,26.643042019453855,26.960765293666295
2020-01-17,27.515684526262646,26.812133981192538,27.200568880353654
2020-01-21,27.716190088363646,26.991752267705206,27.406114305768693
2020-01-22,27.891088201712652,27.129410279373165,27.57740238734654
2020-01-23,28.04734881207756,27.45220313767993,27.919978278023855
2020-01-24,28.19466593039154,27.712484679579642,28.262554713657924
2020-01-27,28.353860816776983,27.929241353740622,28.605131149291992
2020-01-28,28.496541135966165,28.121867616405826,28.7079039982387
2020-01-29,28.643995307178276,28.311733456347948,28.91344996861049
2020-01-30,28.79256685237354,28.509486991646842,29.084738322666713
2020-01-31,28.95219343018483,28.693053411157916,29.18751117161342
2020-02-03,28.894531793859866,28.670967097312218,28.98196574619838
2020-02-04,28.827349561261737,28.661084472714034,28.879192897251674
2020-02-05,28.759422656233607,28.64122562310668,28.84493500845773
2020-02-06,28.69238572921379,28.636179320467072,28.810677664620535
2020-02-07,28.655060645273448,28.648253999027638,28.4338436126709
2020-02-11,28.57732546047645,28.66114221176274,28.296812874930247
2020-02-12,28.51018258581377,28.631633949183616,28.15978240966797
2020-02-13,28.472961984713148,28.51369991231392,28.15978240966797
2020-02-14,28.474176965787365,28.35931516888773,28.057009288242885
2020-02-18,28.455141502085485,28.220367050350255,27.988494328090123
2020-02-19,28.434584589567855,28.10444711389049,27.919978822980607
2020-02-20,28.413191607671024,27.977153487008348,28.02275194440569
2020-02-21,28.422401085915748,27.76870469510937,27.88572120666504
2020-02-24,28.424766150937735,27.608421998075162,27.85146359034947
2020-02-25,28.259003959234427,27.61281941304631,27.85146359034947
2020-02-26,28.073226163178912,27.562632000390526,27.954236711774552
2020-02-27,27.92142982312699,27.515479045396013,27.782948085239955
2020-02-28,27.787919290276268,27.469125189813862,27.714432852608816
2020-03-02,27.637689048859674,27.41986791714582,27.474629265921457
2020-03-03,27.491767359602484,27.394275760436525,27.371856961931503
2020-03-04,27.34895108914198,27.192455230894428,27.063538142613
2020-03-05,27.2504092362043,26.959394718398354,26.755219050816127
2020-03-06,27.128840956542465,26.718117217533358,26.44689995901925
2020-03-09,27.015660216504592,26.49901106028501,26.309869493756974
2020-03-10,26.871736231969926,26.281184860464027,26.207096644810267
2020-03-11,26.732931603347872,26.07115298113198,26.27561160496303
2020-03-12,26.586118907232382,25.864662354939497,25.789152690342494
2020-03-13,26.442267944541065,25.433880785359428,25.58360699244908
2020-03-16,25.679951819139607,24.978236240103126,25.336952209472656
2020-03-17,24.94120314277469,24.487485225518007,24.555878230503627
2020-03-18,24.208047237185873,24.04052454296977,23.802210126604354
2020-03-19,23.510879773495322,23.616535431166337,22.78133228846959
2020-03-20,22.787480453554895,23.21788203350041,21.79471206665039
2020-03-23,22.03181643246945,22.777441352592728,21.38362067086356
2020-03-24,21.24352156139164,22.634073715854523,20.92456817626953
2020-03-25,21.270171153343323,22.457553264630807,20.732725143432617
2020-03-26,21.301379814194604,22.28740733971009,20.705318995884486
2020-03-27,21.297408148870083,22.05793476778749,20.773834500994003
2020-03-30,21.254349972158895,21.840219535200735,21.1438170841762
2020-03-31,21.235912034190502,21.651584935363626,21.58231517246791
2020-04-01,21.26412637513587,21.51169314424887,21.993406568254745
2020-04-02,21.35321035227171,21.811353619538462,22.28117070879255
2020-04-03,21.7646163094286,22.159609398324413,22.418201174054825
2020-04-07,22.14476309152824,22.51862087927706,22.78818348475865
2020-04-08,22.552263624020704,22.825081255267538,23.199275153023855
2020-04-09,22.99083173213423,23.09249086316449,23.439078739711217
2020-04-13,23.416893633737665,23.38167801632246,23.74739728655134
2020-04-14,23.820730486623727,23.869503736135268,23.925537109375
2020-04-15,24.178366258250538,24.099015327024375,24.165340423583984
2020-04-16,24.29759339204077,24.31869368726712,24.501065390450613
2020-04-17,24.44306672707423,24.54059860957558,24.75332396371024
2020-04-20,24.560882289425372,24.794432774731938,24.771590369088308
2020-04-21,24.66566451777162,25.07981524034063,25.032780238560267
2020-04-22,24.779037033775687,25.27372642238269,25.32978848048619
2020-04-23,24.903160881485324,25.474465021391037,25.591498511178152
2020-04-24,25.03717157747795,25.706811689788854,25.92328453063965
2020-04-27,25.27167061739446,25.951749530581363,26.11803981236049
2020-04-28,25.505822958266673,26.20321887571554,26.36148371015276
2020-04-29,25.739264521570213,26.44337497599395,26.83682141985212
2020-04-30,25.942438197235393,26.662374902414406,27.06820215497698
2020-05-05,26.15148086589674,26.864855822326074,27.08937644958496
2020-05-07,26.37577852777909,26.85273783947898,27.14481544494629
2020-05-08,26.583797476825755,26.851153849873278,27.095921107700892
2020-05-11,26.5654721454843,26.846603291097164,27.047026770455496
2020-05-12,26.54157218027501,26.87383221451137,27.068201065063477
2020-05-13,26.57071931324707,26.908768173211985,26.96232795715332
2020-05-14,26.67135139864531,26.936107161687783,27.0329099382673
2020-05-15,26.776400736069768,26.914580645962737,27.174074172973633
2020-05-18,26.84205344904774,27.087740504117257,27.421111243111746
2020-05-19,26.955643533693834,27.255964124693765,27.668148313249862
2020-05-20,27.225923018145316,27.437472462878905,27.950476237705775
2020-05-21,27.51346001210404,27.605200790678232,28.197513307843888
2020-05-22,27.758678042891088,27.76991676404587,28.409259251185826
2020-05-26,27.974256970047957,27.86818321190705,28.373968396868026
2020-05-27,28.187890963792174,28.269325027246293,28.479841232299805
2020-05-28,28.42113697029951,28.618741000042174,28.8327511378697
2020-05-29,28.661888345812425,28.89632734081665,29.15037018912179
2020-06-01,29.012157360176136,29.1426046824305,29.50328036717006
2020-06-02,29.33524904983587,29.3810750731385,29.856190545218332
2020-06-04,29.653759277474844,29.626658418452084,30.27968270438058
2020-06-05,29.95135895444977,29.886674496053647,30.844338825770787
2020-06-08,30.24201794510471,30.08496707950257,31.40899521963937
2020-06-09,30.51589340303446,30.32957991260295,31.620741162981307
2020-06-10,30.76751974353024,30.558064831032258,31.761905125209264
2020-06-11,30.595343918964804,30.779164789806224,31.620741162981307
2020-06-12,30.416199630994424,31.007499722034794,31.51486805507115
2020-06-15,30.24639332093515,31.241609010220248,31.303122111729213
2020-06-16,30.161921488484744,31.445129007465457,30.950211933680944
