Date,Actuals,Forcast
2020-01-02,26.61819076538086,25.612254524720697
2020-01-03,27.0977954864502,25.667675215294906
2020-01-06,26.61819076538086,25.88674348129254
2020-01-07,26.857992172241214,25.912485849745735
2020-01-08,26.857992172241214,26.06751948084039
2020-01-09,28.296812057495117,26.0801562129532
2020-01-10,28.057008743286133,26.416398435374674
2020-01-13,28.296812057495117,26.555647202943103
2020-01-14,28.057008743286133,26.83954897771292
2020-01-15,28.296812057495117,26.971519467540215
2020-01-16,29.016222000122067,27.16389808381683
2020-01-17,29.25602722167969,27.420297125777406
2020-01-21,29.25602722167969,27.652428400458373
2020-01-22,29.016222000122067,27.894326145010634
2020-01-23,29.49583053588867,28.049323463656687
2020-01-24,29.25602722167969,28.23966384640536
2020-01-27,29.016222000122067,28.34892484663862
2020-01-28,27.5774040222168,28.44734263395949
2020-01-29,28.536617279052734,28.385218349613293
2020-01-30,29.016222000122067,28.229177442770517
2020-01-31,28.77642059326172,28.298215301569737
2020-02-03,26.857992172241214,28.112271882705894
2020-02-04,28.296812057495117,28.11079728153231
2020-02-05,28.057008743286133,27.708235897550278
2020-02-06,27.5774040222168,27.78781068165196
2020-02-07,27.81720542907715,27.387028607651327
2020-02-11,27.81720542907715,27.378233101079555
2020-02-12,28.536617279052734,27.08386860470659
2020-02-13,28.296812057495117,27.175911189094986
2020-02-14,27.5774040222168,27.04159617812982
2020-02-18,27.337596893310547,27.08496271457093
2020-02-19,27.81720542907715,26.88241661268631
2020-02-20,27.5774040222168,26.84506057588956
2020-02-21,28.536617279052734,26.71951265305813
2020-02-24,27.337596893310547,26.790426128767646
2020-02-25,27.81720542907715,26.710788192581443
2020-02-26,25.898778915405273,26.695200679319353
2020-02-27,26.61819076538086,26.539278182635055
2020-02-28,25.658973693847656,26.204640023160437
2020-03-02,25.419170379638672,25.94086797533194
2020-03-03,26.37838363647461,25.477780054742112
2020-03-04,26.37838363647461,25.322069117540963
2020-03-05,27.0977954864502,25.14246301035888
2020-03-06,26.37838363647461,25.234131418646484
2020-03-09,23.21297836303711,25.17624937557804
2020-03-10,24.22015380859375,25.09572099500008
2020-03-11,23.69258689880371,24.38569105710681
2020-03-12,20.910865783691406,24.16962093632185
2020-03-13,21.102706909179688,23.423196452118674
2020-03-16,19.951650619506836,22.70876639273635
2020-03-17,19.472042083740234,21.91284014708077
2020-03-18,20.335338592529297,21.1584158725708
2020-03-19,21.006786346435547,20.57977068892089
2020-03-20,22.349685668945312,20.377824531839224
2020-03-23,20.719022750854492,20.433544405413855
2020-03-24,21.58231544494629,20.417109864818116
2020-03-25,22.541528701782227,20.576439416462364
2020-03-26,22.541528701782227,20.949598768693164
2020-03-27,23.21297836303711,21.24926961896807
2020-03-30,23.021135330200195,21.598911134922957
2020-03-31,23.30889892578125,21.82396306092903
2020-04-01,23.30889892578125,22.182894248517073
2020-04-02,24.459957122802734,22.437221902105335
2020-04-03,24.22015380859375,22.893440454701306
2020-04-07,24.939565658569336,23.205583841669267
2020-04-08,24.699758529663086,23.649835074248358
2020-04-09,24.459957122802734,23.964832935436704
2020-04-13,24.699758529663086,24.279341367970005
2020-04-14,25.658973693847656,24.48878999269286
2020-04-15,25.074708938598633,24.84923525150731
2020-04-16,24.58782196044922,25.001346519890717
2020-04-17,26.04848289489746,25.220853692875778
2020-04-20,26.77881622314453,25.355885480000268
2020-04-21,26.291927337646484,25.74927402370551
2020-04-22,27.022260665893555,25.827506826011103
2020-04-23,27.022260665893555,26.183971924698568
2020-04-24,26.77881622314453,26.29298031659374
2020-04-27,27.91518592834473,26.53384710336618
2020-04-28,27.668148040771488,26.763839101183972
2020-04-29,26.92703628540039,27.000173147089864
2020-04-30,26.680000305175778,27.14570870467244
2020-05-05,26.680000305175778,27.132394666453134
2020-05-07,26.680000305175778,27.09995344063429
2020-05-08,26.92703628540039,26.9740834421718
2020-05-11,27.174074172973633,26.932530949358576
2020-05-12,28.162221908569336,26.856724765900733
2020-05-13,27.91518592834473,26.99917060774808
2020-05-14,28.409259796142578,27.00709303675134
2020-05-15,28.409259796142578,27.18735750441456
2020-05-18,28.656295776367188,27.262805299792742
2020-05-19,28.656295776367188,27.438881205450055
2020-05-20,28.656295776367188,27.536013847850906
2020-05-21,28.409259796142578,27.654482422007444
2020-05-22,27.91518592834473,27.715842566130927
2020-05-26,28.656295776367188,27.726330548567883
2020-05-27,30.879629135131836,27.722067782862663
2020-05-28,30.63259315490723,28.194181715132768
2020-05-29,31.126667022705078,28.37793217786159
2020-06-01,31.126667022705078,28.86655722262992
2020-06-02,31.62074089050293,29.09928212690539
2020-06-04,31.867778778076172,29.551198443743314
2020-06-05,32.608890533447266,29.846584425083417
2020-06-08,32.36185073852539,30.322429066746647
2020-06-09,31.62074089050293,30.601068694073685
2020-06-10,30.138519287109375,30.89803663513106
2020-06-11,30.385555267333988,30.897908752159903
2020-06-12,30.138519287109375,30.72759389541309
2020-06-15,29.397407531738278,30.54190624249156
2020-06-16,30.138519287109375,30.241122336726956
2020-06-17,30.879629135131836,29.96969625625442
2020-06-18,31.62074089050293,29.934806308358244
2020-06-19,31.867778778076172,29.922772678652617
2020-06-22,31.62074089050293,30.073504073989223
2020-06-23,31.126667022705078,30.10328186064336
2020-06-24,30.879629135131836,30.219799035388174
2020-06-25,30.385555267333988,30.130249379536277
2020-06-26,31.373703002929688,30.101330461231637
2020-06-29,31.373703002929688,30.018315467325632
2020-06-30,31.373703002929688,30.096118835456476
2020-07-01,31.126667022705078,30.01610040796103
2020-07-02,31.62074089050293,30.083856279444458
