Date,TVO.BK_forecast,TVO.BK
2020-01-02,26.723206329030614,27.184465408325195
2020-01-03,26.69753776080901,27.184465408325195
2020-01-06,26.673240190002694,26.69902801513672
2020-01-07,26.66346327239292,26.941747665405273
2020-01-08,26.689410392165392,26.456310272216797
2020-01-09,26.650196729496876,26.69902801513672
2020-01-10,26.68549667247901,27.184465408325195
2020-01-13,27.264493891316786,26.941747665405273
2020-01-14,27.34693513380171,26.213592529296875
2020-01-15,27.32714264458845,26.456310272216797
2020-01-16,27.356049566978054,26.213592529296875
2020-01-17,27.319584955112735,26.456310272216797
2020-01-20,27.296901043579197,26.941747665405273
2020-01-21,27.358885183019947,26.941747665405273
2020-01-22,26.879028280458712,26.941747665405273
2020-01-23,26.87111678539108,27.184465408325195
2020-01-24,26.880344641562818,27.669902801513672
2020-01-27,26.867877159340377,27.184465408325195
2020-01-28,26.883019437603213,26.69902801513672
2020-01-29,26.87989931409273,26.69902801513672
2020-01-30,26.886834474620116,27.912620544433594
2020-01-31,27.80051803618028,28.39805793762207
2020-02-03,27.646363524283547,27.427183151245117
2020-02-04,27.620411276435384,27.669902801513672
2020-02-05,27.63574991171607,27.912620544433594
2020-02-06,27.717523263020503,27.669902801513672
2020-02-07,27.67136128711943,28.39805793762207
2020-02-11,27.67734264548255,28.39805793762207
2020-02-12,28.32078208943439,28.640775680541992
2020-02-13,28.19816657130497,28.640775680541992
2020-02-14,28.227499036517983,28.640775680541992
2020-02-17,28.282425270740003,28.640775680541992
2020-02-18,28.25938304544636,28.39805793762207
2020-02-19,28.267506554407216,28.640775680541992
2020-02-20,28.288276279372923,28.640775680541992
2020-02-21,28.6057453490655,28.640775680541992
2020-02-24,28.623540018725116,27.669902801513672
2020-02-25,28.6631760422128,26.941747665405273
2020-02-26,28.71021851347133,25.97087287902832
2020-02-27,28.738519619025165,27.669902801513672
2020-02-28,28.754048261280474,26.69902801513672
2020-03-02,28.75498673529393,26.69902801513672
2020-03-03,26.769904914950526,26.69902801513672
2020-03-04,26.756306159063133,26.69902801513672
2020-03-05,26.838776476685847,26.941747665405273
2020-03-06,26.69346214632681,26.941747665405273
2020-03-09,26.749827721081278,26.456310272216797
2020-03-10,26.74999106085646,25.7281551361084
2020-03-11,26.680206429782586,25.97087287902832
2020-03-12,26.196144462677214,25.0
2020-03-13,26.229625126124578,25.0
2020-03-16,26.274368987302793,23.200000762939453
2020-03-17,26.316636610606597,23.0
2020-03-18,26.245848994825312,22.899999618530273
2020-03-19,26.239999666366657,22.700000762939453
2020-03-20,26.178921377195625,22.700000762939453
2020-03-23,22.816766546473612,21.200000762939453
2020-03-24,22.973583800779608,21.100000381469727
2020-03-25,22.962641515280975,21.5
2020-03-26,22.990982589363348,21.5
2020-03-27,22.987777966762305,21.700000762939453
2020-03-30,22.870914384956684,21.700000762939453
2020-03-31,22.877687998026712,22.5
2020-04-01,22.46708278461636,21.799999237060547
2020-04-02,22.413218962690582,22.200000762939453
2020-04-03,22.449103337008648,22.200000762939453
2020-04-07,22.4316346495881,23.100000381469727
2020-04-08,22.52086401128104,23.5
2020-04-09,22.469536928873442,23.899999618530273
2020-04-10,22.484942236123196,23.799999237060547
2020-04-13,23.75083968561598,24.0
2020-04-14,23.782417226629672,24.700000762939453
2020-04-15,23.816064245647464,24.299999237060547
2020-04-16,23.81287384548242,23.600000381469727
2020-04-17,23.80524438103823,23.700000762939453
2020-04-20,23.804564092265675,23.799999237060547
2020-04-21,23.788531343536704,23.799999237060547
2020-04-22,23.750215068569467,24.5
2020-04-23,23.73001997288381,24.799999237060547
2020-04-24,23.717552661902413,24.5
2020-04-27,23.69215665575183,24.399999618530273
2020-04-28,23.674661992617168,24.299999237060547
2020-04-29,23.68054305902765,24.600000381469727
2020-04-30,23.698006877479894,24.5
2020-05-05,24.514520992681348,24.100000381469727
2020-05-07,24.511189413025665,23.799999237060547
2020-05-08,24.45793733605552,23.799999237060547
2020-05-11,24.498998169458687,24.0
2020-05-12,24.480787406564076,24.399999618530273
2020-05-13,24.517589998782064,24.5
2020-05-14,24.53146031452316,24.399999618530273
2020-05-15,24.38111197684375,24.399999618530273
2020-05-18,24.458577452811753,25.0
2020-05-19,24.45257210533233,25.75
2020-05-20,24.44980466519291,26.0
2020-05-21,24.44267707636714,25.5
2020-05-22,24.497515753280254,25.5
2020-05-25,24.499395046112568,25.75
2020-05-26,25.748961186706605,27.5
2020-05-27,25.78368516386196,27.25
2020-05-28,25.80530337919685,26.75
2020-05-29,25.827733317693166,26.5
2020-06-01,25.883147285546972,26.5
2020-06-02,25.914279345163894,27.25
2020-06-04,25.927947525626816,27.75
2020-06-05,27.70824352770886,27.75
2020-06-08,27.6234974840657,27.5
2020-06-09,27.627962996565014,27.25
2020-06-10,27.673152967871143,27.75
2020-06-11,27.716030348544276,27.75
2020-06-12,27.74496121915937,27.25
2020-06-15,27.765515706557945,27.5
2020-06-16,27.583006932308802,27.5
2020-06-17,27.675659808236897,27.25
2020-06-18,27.698801846334806,27.5
2020-06-19,27.669830524791145,26.75
2020-06-22,27.595040947896877,26.5
2020-06-23,27.568950921644497,27.25
2020-06-24,27.547942947857926,26.75
2020-06-25,26.70149656395659,26.25
2020-06-26,26.69544672774486,26.0
2020-06-29,26.753886908554357,26.0
2020-06-30,26.825548149856278,26.25
2020-07-01,26.810889291012252,27.25
2020-07-02,26.865181324324634,27.25
2020-07-03,26.858312600451445,28.5
2020-07-07,28.514965436916164,27.75
2020-07-08,28.476916775293976,27.75
2020-07-09,28.467808962353864,28.25
