Date,Actuals,Forcast
2020-01-02,378.0325622558594,351.7711533509646
2020-01-03,371.28198242187494,352.66606719917945
2020-01-06,358.74520874023443,353.56518280537784
2020-01-07,364.5314025878906,354.30766172213225
2020-01-08,351.9945983886719,354.5723724750951
2020-01-09,357.78082275390625,354.26394727849583
2020-01-10,359.7095642089844,353.9466741492197
2020-01-13,354.88772583007807,353.01671198320946
2020-01-14,353.92333984374994,352.4784021430878
2020-01-15,352.958984375,351.41434733527603
2020-01-16,355.8520812988281,350.5350082726636
2020-01-17,357.78082275390625,349.13218672742914
2020-01-20,355.8520812988281,348.3023799271996
2020-01-21,350.06588745117193,347.185742542315
2020-01-22,346.2083740234375,346.4539094258362
2020-01-23,351.0302429199219,345.3569677814994
2020-01-24,350.06588745117193,344.2020903588127
2020-01-27,340.42218017578125,342.95158254048147
2020-01-28,332.7072448730468,342.0011974065801
2020-01-29,342.3509216308594,340.7719609880405
2020-01-30,343.3153076171875,339.1852115272286
2020-01-31,345.24401855468756,337.6098552947951
2020-02-03,345.24401855468756,336.5062069982923
2020-02-04,351.0302429199219,335.11694016270667
2020-02-05,348.13714599609375,334.30014265161844
2020-02-06,351.9945983886719,333.4627201650437
2020-02-07,351.0302429199219,333.043675609224
2020-02-11,353.92333984374994,332.4478542067027
2020-02-12,354.88772583007807,332.3357601920361
2020-02-13,351.9945983886719,332.0032960915887
2020-02-14,354.88772583007807,332.2264538821855
2020-02-17,352.958984375,332.021840388843
2020-02-18,351.0302429199219,332.3242053575814
2020-02-19,349.10150146484375,332.2216056998968
2020-02-20,343.3153076171875,332.4598938593863
2020-02-21,337.52908325195307,332.1859715600749
2020-02-24,323.06353759765625,332.19530431098065
2020-02-25,323.06353759765625,331.43114997924386
2020-02-26,304.74053955078125,330.73777910892204
2020-02-27,312.4554748535156,328.83323129908604
2020-02-28,298.954345703125,327.313871572087
2020-03-02,297.02557373046875,324.5064710155384
2020-03-03,308.5980224609375,322.3526256322657
2020-03-04,307.6336364746094,318.9689984099459
2020-03-05,312.4554748535156,316.798042983346
2020-03-06,304.74053955078125,314.1407542709112
2020-03-09,299.9186706542969,312.2843246702905
2020-03-10,303.77618408203125,310.13459014158343
2020-03-11,300.883056640625,308.16866232389657
2020-03-12,269.05889892578125,306.0604908579353
2020-03-13,273.8807373046875,304.332063370116
2020-03-16,257.4864807128906,302.50096552195373
2020-03-17,262.3083190917969,299.34421302998544
2020-03-18,264.237060546875,296.568689271985
2020-03-19,266.165771484375,292.96722715920623
2020-03-20,304.74053955078125,290.0666606996765
2020-03-23,274.8450927734375,286.91239290113117
2020-03-24,278.70257568359375,286.7045876877819
2020-03-25,301.8474426269531,284.96939294551794
2020-03-26,311.4911193847656,284.5869824671172
2020-03-27,308.5980224609375,283.865795150914
2020-03-30,300.883056640625,285.3148663351067
2020-03-31,312.4554748535156,285.52698441061693
2020-04-01,306.6692810058594,287.3300941064417
2020-04-02,304.74053955078125,287.96193346321616
2020-04-03,301.8474426269531,290.2315291986315
2020-04-07,317.27734375,290.8399457747237
2020-04-08,317.27734375,292.8167214002815
2020-04-09,315.3066711425781,294.16829361857253
2020-04-10,319.24798583984375,296.7532636118676
2020-04-13,316.2919921875,298.1176835132237
2020-04-14,318.2626647949219,300.7660838914626
2020-04-15,318.2626647949219,302.22029616895725
2020-04-16,309.3946533203125,304.6979799283554
2020-04-17,322.20401000976557,306.12437575996864
2020-04-20,317.27734375,308.37846741243993
2020-04-21,314.3213195800781,309.7553208812906
2020-04-22,323.18933105468744,312.11083044701354
2020-04-23,321.21865844726557,313.09323378477984
2020-04-24,318.2626647949219,315.36946546970285
2020-04-27,325.1600036621094,316.55525005448
2020-04-28,334.02798461914057,318.4567273488665
2020-04-29,335.0133361816406,319.6909937565306
2020-04-30,340.9253234863281,322.2011805380225
2020-05-05,333.0426635742187,323.90400356312966
2020-05-07,327.13067626953125,326.6978898115485
2020-05-08,331.0719909667968,328.51020095334206
2020-05-11,334.02798461914057,330.7224265316745
2020-05-12,336.9840087890625,331.888070959194
2020-05-13,335.0133361816406,333.9557803038042
2020-05-14,335.9986572265625,335.22959979864027
2020-05-15,331.0719909667968,337.0887767025579
2020-05-18,334.02798461914057,338.1662852162208
2020-05-19,339.94000244140625,339.67764544244346
2020-05-20,341.9106750488282,340.4306085533972
2020-05-21,340.9253234863281,342.04014447096597
2020-05-22,335.9986572265625,343.05444480804
2020-05-25,337.9693298339844,344.49671843664873
2020-05-26,336.9840087890625,345.3774311509096
2020-05-27,335.9986572265625,346.29357599739706
2020-05-28,328.1159973144531,346.92929390000245
2020-05-29,337.9693298339844,347.5030560731102
2020-06-01,335.9986572265625,347.8851938412572
2020-06-02,347.8226623535156,348.1066749688125
2020-06-04,354.7200012207031,348.67318506924676
2020-06-05,362.60266113281244,349.31932656377285
2020-06-08,357.6759948730469,350.8514127692797
2020-06-09,361.61734008789057,352.31162467235663
2020-06-10,366.54400634765625,354.16332729524584
2020-06-11,358.66131591796875,355.52057592696656
2020-06-12,352.7493286132813,357.71799434855893
2020-06-15,349.7933349609375,358.97785511855545
2020-06-16,355.705322265625,360.5740989363494
2020-06-17,358.66131591796875,360.76768281498516
2020-06-18,355.705322265625,361.91613639613934
2020-06-19,352.7493286132813,362.21098668233026
2020-06-22,350.7786560058594,363.11216276600135
2020-06-23,353.7346496582032,363.01622935896376
2020-06-24,347.8226623535156,363.2846570516813
2020-06-25,355.705322265625,362.8603198968631
2020-06-26,362.60266113281244,362.8729857730923
2020-06-29,359.64666748046875,362.3570785752963
2020-06-30,362.60266113281244,362.9597884368195
2020-07-01,366.54400634765625,362.60934566038486
2020-07-02,384.27999877929693,363.1214955169071
2020-07-03,384.27999877929693,363.0720642583219
2020-07-07,374.4266662597657,365.0374769566406
2020-07-08,373.44131469726557,365.98133724521176
2020-07-09,376.3973388671875,367.7347227714381
2020-07-10,377.3826599121094,367.98933314463284
2020-07-13,375.41198730468756,369.10659675306306
2020-07-14,378.36798095703125,369.39619484177456
2020-07-15,380.3386535644531,370.18386285761153
2020-07-16,379.35333251953125,370.3475698128932
2020-07-17,379.35333251953125,371.07625161088436
2020-07-20,384.27999877929693,371.1389951700039
2020-07-21,384.27999877929693,371.56062542304426
2020-07-22,381.3240051269531,371.7836216075648
2020-07-23,382.309326171875,372.24840068297453
2020-07-24,376.3973388671875,372.2708437268193
2020-07-29,377.3826599121094,372.383846775665
2020-07-30,369.5,372.12576187183004
2020-07-31,376.3973388671875,371.72901895453833
2020-08-03,367.5293273925781,371.0159725444282
2020-08-04,364.5733337402344,370.24925271623033
2020-08-05,373.44131469726557,369.2959990744748
2020-08-06,373.44131469726557,367.9294984948865
2020-08-07,371.4706726074218,366.7858122929829
2020-08-10,372.4559936523437,365.80332815217844
2020-08-11,369.5,364.49035958536115
2020-08-13,371.0,363.4453944953111
2020-08-14,364.0,362.05245112148987
2020-08-17,367.99999999999994,360.95363080651623
2020-08-18,372.0,359.4871566679831
2020-08-19,364.0,358.1964291374152
2020-08-20,358.0,356.99692823691294
2020-08-21,359.0,355.80888116706774
2020-08-24,361.0,354.2259092482891
2020-08-25,356.0,352.43343525236014
2020-08-26,351.0,350.81147586767656
2020-08-27,348.0,349.08976513240304
2020-08-28,343.0,347.2516576206817
