Date,BTS Percent Error (VAR),CPF Percent Error (VAR),PTTEP Percent Error (VAR),SCC Percent Error (VAR),TVO Percent Error (VAR),BTS Percent Error (CNN-LSTM),CPF Percent Error (CNN-LSTM),PTTEP Percent Error (CNN-LSTM),SCC Percent Error (CNN-LSTM),TVO Percent Error (CNN-LSTM)
2020-01-02,1.1243514490330409,0.5414118044324573,2.4180405257582334,0.197888119363248,1.8323544964584364,0.6597183708640877,4.383579522958763,1.0317368555631945,3.2580744141240245,3.0555780261563825
2020-01-03,0.4106831274281215,2.315505187982456,4.381256976665368,1.626585178114482,2.0487547097467877,0.21047347076503992,0.9691879338922553,0.5548783508661893,0.97841226715609,2.005114552145316
2020-01-06,1.4775716983771903,0.5726470150955394,6.7849881249535935,5.336359048994092,0.4280187306876213,2.159280577709664,1.8337803238546078,3.212236789820308,3.0706336832117413,1.0144520672021293
2020-01-07,1.3725612968504874,1.782603048259931,6.42262786868962,3.6935888464800852,1.4541823865071812,1.6842406375798553,1.070184261822803,1.9344709744617605,0.742288993693822,0.615496646038859
2020-01-08,0.4873821160054843,1.4276042696286435,7.140725257963661,7.382564116157169,0.4618606405527532,0.5408041149959172,0.5945574408380399,0.3167274350117371,4.245351063642327,0.31464157608144533
2020-01-09,1.7531260471900154,6.426224757304384,6.306361181935648,5.756665909798989,0.7220898418108426,1.6519165170549304,1.8078368609674191,0.664395231545773,3.255623435840556,1.6707593088893924
2020-01-10,0.3892218575299895,5.294477778184558,4.917991329871127,5.080623116912482,2.4180581443115456,0.8875888435293706,3.113786049538256,1.0083320119997883,1.0186378554571445,2.0393211738211035
2020-01-13,1.0126351944701832,1.1949775443772923,0.09083163367872782,1.1502033719584737,1.2616355003504542,0.6602614076510838,2.1154276341422644,2.9102511713956685,2.4908929310750296,1.0482709406283435
2020-01-14,0.11260799225762678,0.3552317689414367,0.16333905428915624,1.8948958823878832,4.316215247431964,0.8840358361947293,0.6585921351124174,1.4364635195917592,2.103492227853065,2.673716604632939
2020-01-15,0.32639528119637173,1.4910952446442405,0.38507686584497425,2.2084160245687245,3.2420087020873485,0.4742505797370353,1.9647987900384605,0.6216394101080965,2.4539374500146103,0.9365695359238612
