Date,Trend(VAR) Percent Error,Trend(CNN-LSTM) Percent Error
2020-01-02,,
2020-01-03,,
2020-01-06,,
2020-01-07,,
2020-01-08,,
2020-01-09,,
2020-01-10,0.590083137090216,0.1479535611312284
2020-01-13,0.5745741629518366,0.041476610823972644
2020-01-14,0.5318628172840605,0.19740024082813742
2020-01-15,0.7820786360844971,0.4295913399435568
2020-01-16,0.8283955616779656,0.5816694873191283
2020-01-17,1.2335316726678562,1.0674995959101619
2020-01-20,1.2428307952618824,1.0842015477194382
2020-01-21,1.1865482370368512,1.2272803062248232
2020-01-22,1.1711414887209948,1.2379216800811432
2020-01-23,1.2674134368302816,1.5004438816924308
2020-01-24,1.4311506636385283,1.7994676727769534
2020-01-27,1.0977139021670241,1.6535321399153708
2020-01-28,0.2955954360185634,1.0699646057160919
2020-01-29,0.7348438430365738,0.24645173756740837
2020-01-30,1.4313499956472,0.2421824710066967
2020-01-31,1.8314034368358003,1.0894837462729654
2020-02-03,2.2128260667840314,1.868720459423209
2020-02-04,2.2940235538966998,2.342551094810855
2020-02-05,2.1742104478776705,2.4651757175673086
2020-02-06,1.8434473751056981,2.36093748223285
2020-02-07,0.6364010812619787,1.430604209030715
2020-02-11,0.2690933706753468,0.8894170264939879
2020-02-12,0.5914071863781983,0.041415489029322586
2020-02-13,0.7471896235942789,0.5999638494703567
2020-02-14,0.3699553682727219,0.6448207449561177
2020-02-17,0.3388598838988999,0.90561237127324
2020-02-18,0.24992752245244043,1.2691703484634607
2020-02-19,0.24225299849747825,1.360124048370658
2020-02-20,0.852656008887284,1.5962187705629394
2020-02-21,0.6149164698870335,1.8692120841467774
2020-02-24,1.033052277111589,1.7050598777643022
2020-02-25,1.328145089357331,1.8503365355944397
2020-02-26,2.64425875104836,0.7683678090900186
2020-02-27,3.7129718070076074,0.10035985727011977
2020-02-28,5.768114988667235,1.5172684063794077
2020-03-02,7.623993954241988,2.890880129589076
2020-03-03,7.23569390506644,3.7817106638494433
2020-03-04,5.850476747874229,3.4299477320405196
2020-03-05,4.253448954928408,2.5020606241408845
2020-03-06,2.0250407436675957,1.3545740858591164
2020-03-09,0.42157865121883603,0.6410098355003274
2020-03-10,2.532327123106909,1.4657106203115773
2020-03-11,5.155763542028673,3.0034250684049244
2020-03-12,2.772140289757509,2.488337363324457
2020-03-13,0.6117929340662998,2.574078536185203
2020-03-16,3.7158089681954407,1.3698965903308373
2020-03-17,8.064803140613895,0.12114664787486479
2020-03-18,11.907584390023858,1.269745240347712
2020-03-19,16.42802616914135,2.5450091437087807
2020-03-20,19.29094994114631,3.3104849313777973
2020-03-23,19.260465780500894,2.616512059857055
2020-03-24,20.297469271482043,3.3215050915700206
2020-03-25,18.288836434134538,2.3054085038525867
2020-03-26,15.373371194202926,0.5759774878452466
2020-03-27,12.602309477046225,0.45303886006141725
2020-03-30,10.051277841347417,0.8993201725971933
2020-03-31,7.83919826521198,1.037785069224417
2020-04-01,6.6626681330017385,1.7604406669160768
2020-04-02,4.96155719550375,1.8378787956835902
2020-04-03,3.8179226087535705,0.325355502975549
2020-04-07,1.4609757649213448,1.0058561890287472
2020-04-08,0.250359778885888,1.1200252058761917
2020-04-09,2.2690605691476504,1.1558650537292694
2020-04-10,3.735885134760767,2.0832951544985012
2020-04-13,4.836354233278157,3.16633411704755
2020-04-14,6.215457341571169,4.108374676169345
2020-04-15,7.438676721586726,4.573463604471536
2020-04-16,6.4822241126626405,3.244881662713988
2020-04-17,6.410244214308465,3.2071125207507603
2020-04-20,6.5834347448808765,3.0435771269154555
2020-04-21,5.8214125187088674,2.265361070620479
2020-04-22,5.047594299893893,0.7813350436405143
2020-04-23,3.823855712765434,0.6872199908759958
2020-04-24,2.4349833493879474,1.2644433434213984
2020-04-27,1.87733154024721,1.2793711523721207
2020-04-28,1.036942748942137,1.5936302014115382
2020-04-29,0.7314441272922245,2.122448515470887
2020-04-30,1.4035693902001467,2.202109978223849
2020-05-05,1.4005380019933975,2.1940052785894575
2020-05-07,1.149166756178022,1.763478350245265
2020-05-08,0.6376849868628772,0.9524158158945685
2020-05-11,0.39780035332670327,0.36092440157885597
2020-05-12,0.4187086956869458,0.03746610057699988
2020-05-13,0.02729187270282993,0.6745049751194069
2020-05-14,0.3098798009135194,0.5648772044726166
2020-05-15,0.10522149008700858,0.8997830663837201
2020-05-18,0.018847334067823823,0.9399501151382375
2020-05-19,0.5455634420566932,1.1762687128845994
2020-05-20,0.9644305867328213,1.1638012634471462
2020-05-21,1.4635961465289586,1.174338265744981
2020-05-22,1.656588710715241,0.9493291994947319
2020-05-25,2.4331266371777467,1.448295189970833
2020-05-26,2.356744794429841,1.7031740813375933
2020-05-27,2.0330450195967087,1.8229405416537818
2020-05-28,1.6340051331964904,1.7279320744657243
2020-05-29,1.3667328605088196,1.7959464113361183
2020-06-01,1.001433399843039,1.8417794882758298
2020-06-02,0.6525372553931679,1.8532895512218581
2020-06-04,0.22020842647709118,1.5623313375406744
2020-06-05,0.12441202549383619,1.3667803963129133
2020-06-08,0.10165172499119868,1.4683698862969028
2020-06-09,0.01676380589678926,1.2175412284435985
2020-06-10,0.38296207416645545,0.8669163048044446
2020-06-11,0.9524786970489458,0.34352659931974455
2020-06-12,1.2433400145346578,0.07656783888510875
2020-06-15,1.8323352396397787,0.5620653997871614
2020-06-16,1.670183577826249,1.0493306029747511
2020-06-17,1.5215262139365804,1.4379129295457695
2020-06-18,1.098885729889694,1.38286580076284
2020-06-19,0.46251104333782345,1.3746793249845983
2020-06-22,0.2910009869874212,1.3734384432290536
