Date,SCC.BK_forecast,SCC.BK
2020-01-02,377.28448072783056,378.0325622558594
2020-01-03,377.3212001169588,371.281982421875
2020-01-06,377.8891411496766,358.7452087402344
2020-01-07,377.99569381579437,364.5314025878906
2020-01-08,377.9808253001255,351.9945983886719
2020-01-09,378.3770694091787,357.78082275390625
2020-01-10,377.9850514819311,359.7095642089844
2020-01-13,358.96965641924237,354.8877258300781
2020-01-14,360.6298186372589,353.92333984375
2020-01-15,360.7537871460925,352.958984375
2020-01-16,362.0788129175057,355.8520812988281
2020-01-17,361.06661157058363,357.78082275390625
2020-01-20,360.8836175640933,355.8520812988281
2020-01-21,360.25184851252556,350.0658874511719
2020-01-22,350.54774034484166,346.2083740234375
2020-01-23,349.29619720647287,351.0302429199219
2020-01-24,348.8922998719257,350.0658874511719
2020-01-27,348.0837909664718,340.42218017578125
2020-01-28,348.6255725145623,332.7072448730469
2020-01-29,348.89529787585235,342.3509216308594
2020-01-30,349.96318406612954,343.3153076171875
2020-01-31,344.64008636186946,345.2440185546875
2020-02-03,344.2882067207489,345.2440185546875
2020-02-04,345.34001584483644,351.0302429199219
2020-02-05,344.76467241017184,348.13714599609375
2020-02-06,346.28984401837647,351.9945983886719
2020-02-07,347.04560237372795,351.0302429199219
2020-02-11,347.5076988835918,353.92333984375
2020-02-12,354.47436548908416,354.8877258300781
2020-02-13,355.0257109773523,351.9945983886719
2020-02-14,354.87741416432897,354.8877258300781
2020-02-17,355.5048237296436,352.958984375
2020-02-18,354.17938739441865,351.0302429199219
2020-02-19,354.0014578113476,349.10150146484375
2020-02-20,353.82424803468217,343.3153076171875
2020-02-21,343.7804350171756,337.5290832519531
2020-02-24,343.81537097910007,323.06353759765625
2020-02-25,343.2644433297882,323.06353759765625
2020-02-26,343.8453571245804,304.74053955078125
2020-02-27,344.01348412856987,312.4554748535156
2020-02-28,344.4801104894096,298.954345703125
2020-03-02,344.92348354460194,297.02557373046875
2020-03-03,297.08198729934253,308.5980224609375
2020-03-04,300.0675020577889,307.6336364746094
2020-03-05,300.4811870036121,312.4554748535156
2020-03-06,299.0968686108145,304.74053955078125
2020-03-09,298.9565855698626,299.9186706542969
2020-03-10,297.0721961124287,303.77618408203125
2020-03-11,299.0757656840994,300.883056640625
2020-03-12,303.1834290939627,269.05889892578125
2020-03-13,302.0232963960089,273.8807373046875
2020-03-16,300.8345677111707,257.4864807128906
2020-03-17,299.8637683303005,262.3083190917969
2020-03-18,300.55298919705575,264.237060546875
2020-03-19,302.03497460319875,266.165771484375
2020-03-20,303.35415006868294,304.74053955078125
2020-03-23,304.6884138634871,274.8450927734375
2020-03-24,308.75367813431313,278.70257568359375
2020-03-25,308.8292088376105,301.8474426269531
2020-03-26,311.7144674174652,311.4911193847656
2020-03-27,308.9851391310312,308.5980224609375
2020-03-30,306.97588329527116,300.883056640625
2020-03-31,303.6929091095614,312.4554748535156
2020-04-01,312.00003134245424,306.6692810058594
2020-04-02,310.470045191599,304.74053955078125
2020-04-03,312.82669565929257,301.8474426269531
2020-04-07,314.634710312365,317.27734375
2020-04-08,311.73484350661056,317.27734375
2020-04-09,309.2673425001195,315.3066711425781
2020-04-10,309.9526364228202,319.24798583984375
2020-04-13,319.88967515445677,316.2919921875
2020-04-14,321.56624650117135,318.2626647949219
2020-04-15,319.9144633233221,318.2626647949219
2020-04-16,322.2598685741435,309.3946533203125
2020-04-17,318.18668258975737,322.2040100097656
2020-04-20,317.43606682497074,317.27734375
2020-04-21,316.31641508874606,314.3213195800781
2020-04-22,313.390844094539,323.1893310546875
2020-04-23,312.5408069610207,321.2186584472656
2020-04-24,313.4715245119401,318.2626647949219
2020-04-27,313.76473316414183,325.1600036621094
2020-04-28,315.0150039314078,334.0279846191406
2020-04-29,314.9796441598213,335.0133361816406
2020-04-30,314.53687405279624,340.9253234863281
2020-05-05,337.5240837156461,333.04266357421875
2020-05-07,338.89420002523724,327.13067626953125
2020-05-08,338.4117490599362,331.0719909667969
2020-05-11,338.10452908550064,334.0279846191406
2020-05-12,339.2043394158149,336.9840087890625
2020-05-13,337.39158445502693,335.0133361816406
2020-05-14,336.4063169091126,335.9986572265625
2020-05-15,334.8713339463988,331.0719909667969
2020-05-18,336.5285848337992,334.0279846191406
2020-05-19,338.8828689844612,339.94000244140625
2020-05-20,340.0084071403821,341.9106750488281
2020-05-21,338.7785307551748,340.9253234863281
2020-05-22,336.131689550671,335.9986572265625
2020-05-25,335.16105196188147,337.9693298339844
2020-05-26,338.0969521150166,336.9840087890625
2020-05-27,338.4483917975653,335.9986572265625
2020-05-28,337.74026621022637,328.1159973144531
2020-05-29,341.1861900404106,337.9693298339844
2020-06-01,340.8443210768318,335.9986572265625
2020-06-02,340.7207463071477,347.8226623535156
2020-06-04,340.57769490491205,354.7200012207031
2020-06-05,350.6688482334304,362.6026611328125
2020-06-08,350.6413116762106,357.6759948730469
2020-06-09,351.4810698357649,361.6173400878906
2020-06-10,353.8867316632533,366.54400634765625
2020-06-11,354.33260822321824,358.66131591796875
2020-06-12,351.724056120654,352.74932861328125
2020-06-15,348.6015472292988,349.7933349609375
2020-06-16,348.12759822447487,355.705322265625
2020-06-17,350.2434412517313,358.66131591796875
2020-06-18,350.5814406559916,355.705322265625
2020-06-19,350.5953999563894,352.74932861328125
2020-06-22,348.9249800910815,350.7786560058594
2020-06-23,349.55061707375097,353.7346496582031
2020-06-24,350.94281297007166,347.8226623535156
2020-06-25,349.83762647953597,355.705322265625
2020-06-26,349.3688285224123,362.6026611328125
2020-06-29,349.0882559118906,359.64666748046875
2020-06-30,347.81603958505724,362.6026611328125
2020-07-01,346.8879458801595,366.54400634765625
2020-07-02,346.9888250067033,384.2799987792969
2020-07-03,346.9227507231739,384.2799987792969
2020-07-07,384.14111706925456,374.4266662597656
2020-07-08,382.64437707094226,373.4413146972656
2020-07-09,381.7672464021618,376.3973388671875
2020-07-10,381.67933169367996,377.3826599121094
2020-07-13,381.9068247545287,375.4119873046875
2020-07-14,382.63115947449535,378.36798095703125
2020-07-15,383.0131494774234,380.3386535644531
2020-07-16,378.6277143892915,379.35333251953125
2020-07-17,379.71197707112145,379.35333251953125
2020-07-20,380.94963363965434,384.2799987792969
2020-07-21,380.483780218986,384.2799987792969
2020-07-22,377.0780495103524,381.3240051269531
2020-07-23,375.20375506525903,382.309326171875
2020-07-24,376.6785897919929,376.3973388671875
2020-07-29,378.41011912342435,377.3826599121094
2020-07-30,381.1475557830368,369.5
2020-07-31,380.34144372231526,376.3973388671875
2020-08-03,381.05700323892535,367.5293273925781
