Date,CPF.BK_forecast,CPF.BK
2020-01-02,26.47407673845074,26.61819076538086
2020-01-03,26.470344626132565,27.097795486450195
2020-01-06,26.46576249049047,26.61819076538086
2020-01-07,26.379220785077425,26.85799217224121
2020-01-08,26.474566329253772,26.85799217224121
2020-01-09,26.478395315528473,28.296812057495117
2020-01-10,26.571536650149543,28.057008743286133
2020-01-13,27.958671507633415,28.296812057495117
2020-01-14,27.9573413348153,28.057008743286133
2020-01-15,27.87487963851989,28.296812057495117
2020-01-16,27.952448979079616,29.01622200012207
2020-01-17,27.816518258112325,29.256027221679688
2020-01-21,27.881934250235467,29.256027221679688
2020-01-22,27.79582344359257,29.01622200012207
2020-01-23,29.05249578018775,29.495830535888672
2020-01-24,28.988561163013177,29.256027221679688
2020-01-27,28.989243843218016,29.01622200012207
2020-01-28,28.95121121340388,27.577404022216797
2020-01-29,28.8486974565971,28.536617279052734
2020-01-30,28.92193506660232,29.01622200012207
2020-01-31,28.91320948827162,28.77642059326172
2020-02-03,28.64886432591297,26.85799217224121
2020-02-04,28.51828553482628,28.296812057495117
2020-02-05,28.513755508021127,28.057008743286133
2020-02-06,28.48195272426513,27.577404022216797
2020-02-07,28.587421869014722,27.81720542907715
2020-02-11,28.377788773023315,27.81720542907715
2020-02-12,28.443209365632864,28.536617279052734
2020-02-13,28.38832011820861,28.296812057495117
2020-02-14,28.526790402345785,27.577404022216797
2020-02-18,28.380507262107947,27.337596893310547
2020-02-19,28.338054336641687,27.81720542907715
2020-02-20,28.437670995736905,27.577404022216797
2020-02-21,28.442255120736405,28.536617279052734
2020-02-24,28.459764820786784,27.337596893310547
2020-02-25,27.22798477628543,27.81720542907715
2020-02-26,27.22634582995722,25.898778915405273
2020-02-27,27.31793288174448,26.61819076538086
2020-02-28,27.40348060668665,25.658973693847656
2020-03-02,27.386059305820755,25.419170379638672
2020-03-03,27.42080329593608,26.37838363647461
2020-03-04,27.460050927563266,26.37838363647461
2020-03-05,26.538191805721674,27.097795486450195
2020-03-06,26.375367872324368,26.37838363647461
2020-03-09,26.52566770147935,23.21297836303711
2020-03-10,26.396012714943982,24.22015380859375
2020-03-11,26.41442690546638,23.69258689880371
2020-03-12,26.393114423127663,20.910865783691406
2020-03-13,26.453094188724034,21.102706909179688
2020-03-16,21.201978927911494,19.951650619506836
2020-03-17,21.204127137769937,19.472042083740234
2020-03-18,21.39357636235767,20.335338592529297
2020-03-19,21.515840469110106,21.006786346435547
2020-03-20,21.350631665883377,22.349685668945312
2020-03-23,21.103466275529573,20.719022750854492
2020-03-24,20.935030091179325,21.58231544494629
2020-03-25,21.3885260715733,22.541528701782227
2020-03-26,21.42258776372891,22.541528701782227
2020-03-27,21.36577470508602,23.21297836303711
2020-03-30,21.214433232131793,23.021135330200195
2020-03-31,21.221566100104635,23.30889892578125
2020-04-01,21.30096666214716,23.30889892578125
2020-04-02,21.558617931130208,24.459957122802734
2020-04-03,24.268367771671535,24.22015380859375
2020-04-07,24.083615238426365,24.939565658569336
2020-04-08,24.218278432533268,24.699758529663086
2020-04-09,24.28440998892646,24.459957122802734
2020-04-13,24.203999411328706,24.699758529663086
2020-04-14,24.12782463234963,25.658973693847656
2020-04-15,24.06206833251787,25.074708938598633
2020-04-16,25.102957708203167,24.58782196044922
2020-04-17,25.101928583660577,26.04848289489746
2020-04-20,25.042987368991266,26.77881622314453
2020-04-21,25.017885587350175,26.291927337646484
2020-04-22,24.997607023357162,27.022260665893555
2020-04-23,24.996691566317104,27.022260665893555
2020-04-24,25.000143204466223,26.77881622314453
2020-04-27,26.74445098761876,27.915185928344727
2020-04-28,26.74099496976608,27.668148040771484
2020-04-29,26.677078312116045,26.92703628540039
2020-04-30,26.44010131700644,26.68000030517578
2020-05-05,26.46090570398659,26.68000030517578
2020-05-07,26.56677519949354,26.68000030517578
2020-05-08,26.456275847792885,26.92703628540039
2020-05-11,26.616173668228576,27.174074172973633
2020-05-12,26.573695213301093,28.162221908569336
2020-05-13,26.88110824292045,27.915185928344727
2020-05-14,27.14452591479414,28.409259796142578
2020-05-15,27.196251065957753,28.409259796142578
2020-05-18,27.026344190339348,28.656295776367188
2020-05-19,27.251406440315556,28.656295776367188
2020-05-20,28.508130059388957,28.656295776367188
2020-05-21,28.586454171012146,28.409259796142578
2020-05-22,28.597634458429766,27.915185928344727
2020-05-26,28.653578404892258,28.656295776367188
2020-05-27,28.691689022167274,30.879629135131836
2020-05-28,28.659066235890712,30.632593154907227
2020-05-29,28.936666068905943,31.126667022705078
2020-06-01,30.960013159934967,31.126667022705078
2020-06-02,30.848095998630278,31.62074089050293
2020-06-04,30.827206051902614,31.867778778076172
2020-06-05,30.736776143716725,32.608890533447266
2020-06-08,30.726301956751858,32.36185073852539
2020-06-09,30.57619444139899,31.62074089050293
2020-06-10,30.698050452376393,30.138519287109375
2020-06-11,29.754782387976913,30.385555267333984
2020-06-12,29.594085982837623,30.138519287109375
2020-06-15,29.63856188148771,29.39740753173828
2020-06-16,30.145473316563848,30.138519287109375
2020-06-17,30.363401612673805,30.879629135131836
2020-06-18,30.918800152798017,31.62074089050293
2020-06-19,31.136443736579107,31.867778778076172
2020-06-22,32.06354211711804,31.62074089050293
2020-06-23,31.857246776695405,31.126667022705078
2020-06-24,31.76583669523331,30.879629135131836
2020-06-25,31.84200341295922,30.385555267333984
2020-06-26,31.828458681231062,31.373703002929688
2020-06-29,31.870440367597386,31.373703002929688
2020-06-30,31.899654704011645,31.373703002929688
2020-07-01,31.501389126531194,31.126667022705078
