Date,SCC.BK_forecast,SCC.BK
2020-01-02,377.7306520183556,378.0325622558594
2020-01-03,378.04502411652123,371.281982421875
2020-01-06,378.21426949855544,358.7452087402344
2020-01-07,378.47587995287734,364.5314025878906
2020-01-08,378.0282829555947,351.9945983886719
2020-01-09,378.2271743680945,357.78082275390625
2020-01-10,378.45175011175155,359.7095642089844
2020-01-13,359.18182842703635,354.8877258300781
2020-01-14,360.88899096652665,353.92333984375
2020-01-15,360.94790331390163,352.958984375
2020-01-16,362.14149697834387,355.8520812988281
2020-01-17,361.45369262039424,357.78082275390625
2020-01-20,362.2857937121145,355.8520812988281
2020-01-21,361.4114885524952,350.0658874511719
2020-01-22,350.9498328325485,346.2083740234375
2020-01-23,349.540656330125,351.0302429199219
2020-01-24,349.67079107176056,350.0658874511719
2020-01-27,348.1367589294254,340.42218017578125
2020-01-28,349.1257095656745,332.7072448730469
2020-01-29,349.3494224989887,342.3509216308594
2020-01-30,350.3653505388542,343.3153076171875
2020-01-31,344.1207710791388,345.2440185546875
2020-02-03,343.752935805434,345.2440185546875
2020-02-04,344.36646094839574,351.0302429199219
2020-02-05,344.4721388992542,348.13714599609375
2020-02-06,345.8824342810234,351.9945983886719
2020-02-07,346.30359517461306,351.0302429199219
2020-02-11,347.00382438265694,353.92333984375
2020-02-12,354.62495452625245,354.8877258300781
2020-02-13,355.60163069392433,351.9945983886719
2020-02-14,354.80027915478024,354.8877258300781
2020-02-17,355.2372826614457,352.958984375
2020-02-18,354.08849381690897,351.0302429199219
2020-02-19,353.6801672841992,349.10150146484375
2020-02-20,353.5945238240334,343.3153076171875
2020-02-21,344.2716214500529,337.5290832519531
2020-02-24,344.32470747369945,323.06353759765625
2020-02-25,343.7821264172733,323.06353759765625
2020-02-26,344.1553145523644,304.74053955078125
2020-02-27,344.4849235302399,312.4554748535156
2020-02-28,345.0435917686999,298.954345703125
2020-03-02,345.4009340183064,297.02557373046875
2020-03-03,297.1953923323362,308.5980224609375
2020-03-04,299.8664826087309,307.6336364746094
2020-03-05,301.290027319536,312.4554748535156
2020-03-06,300.0832160500728,304.74053955078125
