Date,Forcast,Actuals
2020-01-02,117.66192526862869,118.88854217529298
2020-01-03,120.54707419458282,121.21969604492188
2020-01-06,120.48460830382828,124.48330688476564
2020-01-07,121.61800027373829,124.01707458496095
2020-01-08,125.34528100152966,124.94953155517577
2020-01-09,124.841038114806,124.01707458496095
2020-01-10,123.85478574666922,122.61838531494142
2020-01-13,126.18688830991596,122.61838531494142
2020-01-14,121.31654446468019,123.08460998535155
2020-01-15,121.39280709169907,122.15215301513673
2020-01-16,121.01159629679023,122.61838531494142
2020-01-17,123.23164914938388,123.08460998535155
2020-01-20,122.38308910464184,123.08460998535155
2020-01-21,121.70219426513722,122.61838531494142
2020-01-22,123.30711863996476,122.15215301513673
2020-01-23,118.70963291818771,120.28723144531251
2020-01-24,117.6904717841353,119.82100677490234
2020-01-27,117.2508631208475,114.22624969482422
2020-01-28,116.98726038791938,115.62493133544923
2020-01-29,115.98085339949102,117.95607757568358
2020-01-30,115.91241979666665,117.48985290527345
2020-01-31,116.5679214776319,116.0911636352539
2020-02-03,116.78930888402101,116.5573959350586
2020-02-04,115.06919423409636,116.0911636352539
2020-02-05,115.95183356062626,116.0911636352539
2020-02-06,115.4662805502885,117.02362823486328
2020-02-07,114.83606329141548,116.0911636352539
2020-02-11,114.95952393275729,117.02362823486328
2020-02-12,115.78993778334916,118.88854217529298
2020-02-13,118.93668101609,119.12872314453126
2020-02-14,118.50284817702413,119.12872314453126
2020-02-17,118.92842983863011,119.12872314453126
2020-02-18,119.72370902427065,118.64836883544922
2020-02-19,119.496571378706,120.08943939208986
2020-02-20,119.4921387694194,121.05015563964842
2020-02-21,120.71177793070092,120.56979370117188
2020-02-24,113.56694904668257,115.2858657836914
2020-02-25,112.98861826188295,114.32514953613281
2020-02-26,111.77945617709702,109.04121398925781
2020-02-27,108.78133008255827,110.48229217529297
2020-02-28,107.7952632060078,101.83584594726561
2020-03-02,108.56762458634694,102.79656219482422
2020-03-03,107.48449444006474,107.60014343261717
2020-03-04,94.6184973894633,105.67870330810545
2020-03-05,92.85358971957612,105.19834899902342
2020-03-06,91.70587651995083,102.31620788574217
2020-03-09,83.64938527240702,71.81349182128906
2020-03-10,81.86984615411711,67.7304458618164
2020-03-11,84.03013873461168,69.41169738769531
2020-03-12,80.47627345123328,57.6429328918457
2020-03-13,63.75054828395514,63.647407531738274
2020-03-16,59.50650398736434,55.96167755126953
2020-03-17,59.59369622638678,55.72150421142578
2020-03-18,50.551769733125184,54.76078796386719
2020-03-19,49.1641423553956,52.839351654052734
2020-03-20,55.48036912991938,60.765254974365234
2020-03-23,49.521104922590894,53.31970977783203
2020-03-24,61.28720082900327,56.922393798828125
2020-03-25,62.343754508350685,63.647407531738274
2020-03-26,66.65124012558954,64.60812377929688
2020-03-27,66.45236756002123,61.96615219116211
2020-03-30,62.81520056373665,60.52507781982421
2020-03-31,66.90455766986997,64.84830474853516
2020-04-01,63.30830116275865,64.3679428100586
2020-04-02,70.47539863152633,72.2938461303711
2020-04-03,73.05837216899272,75.89652252197266
2020-04-07,76.43693830891789,83.34207153320312
2020-04-08,79.00729841851535,79.49921417236328
2020-04-09,77.29470577222855,76.6170654296875
2020-04-10,78.8957827957056,76.6170654296875
2020-04-13,77.79803399354387,76.37688446044922
2020-04-14,73.9143103014867,77.33760070800781
2020-04-15,75.0330292472936,75.17598724365234
2020-04-16,74.14565668718205,71.09294891357422
2020-04-17,75.57023207002567,73.49473571777344
2020-04-20,74.46443037451354,75.89652252197266
2020-04-21,75.71607323069475,73.25455474853516
2020-04-22,74.9093447367959,71.81349182128906
2020-04-23,73.74644681213977,73.01437377929688
2020-04-24,72.26207597775829,73.25455474853516
2020-04-27,71.90936372639408,73.97509002685547
2020-04-28,73.11852261304921,73.97509002685547
2020-04-29,71.99646162055797,75.17598724365234
2020-04-30,73.11032900194368,81.18045806884766
2020-05-05,73.40452185595859,80.70011138916016
2020-05-07,80.18049752247316,79.259033203125
2020-05-08,78.55010323396709,79.73939514160156
2020-05-11,79.86827680514762,79.73939514160156
2020-05-12,81.80749859420212,80.70011138916016
2020-05-13,81.75521875004051,80.2197494506836
2020-05-14,81.31359526434971,78.53849792480469
2020-05-15,83.88522823000494,80.2197494506836
2020-05-18,84.21362189477804,82.14117431640625
2020-05-19,82.51804970060039,84.54296875
2020-05-20,83.56875080058671,85.02332305908203
2020-05-21,85.08233975794246,85.5036849975586
2020-05-22,85.61110271349753,81.18045806884766
2020-05-25,84.78720025721123,82.14117431640625
2020-05-26,87.59254942348343,83.5822525024414
2020-05-27,83.90733690821435,83.10189056396484
2020-05-28,81.78373968050073,80.94027709960938
2020-05-29,82.41347082349239,80.70011138916016
2020-06-01,82.87841188083439,83.34207153320312
2020-06-02,83.38270913578162,85.5036849975586
