Date,Actuals,Forcast
2020-01-02,378.0325622558594,354.69151655483984
2020-01-03,371.28198242187494,355.66992014221796
2020-01-06,358.74520874023443,356.5553598342103
2020-01-07,364.5314025878906,357.42540654743607
2020-01-08,351.9945983886719,357.6365448861088
2020-01-09,357.78082275390625,357.3943175785098
2020-01-10,359.7095642089844,356.9954131799477
2020-01-13,354.88772583007807,355.92249023869954
2020-01-14,353.92333984374994,355.31062943310644
2020-01-15,352.958984375,354.0271741759716
2020-01-16,355.8520812988281,353.08048578106536
2020-01-17,357.78082275390625,351.4303261360692
2020-01-20,355.8520812988281,350.5619156843659
2020-01-21,350.06588745117193,349.22428199015485
2020-01-22,346.2083740234375,348.4914388356992
2020-01-23,351.0302429199219,347.2618590042475
2020-01-24,350.06588745117193,346.12132412083156
2020-01-27,340.42218017578125,344.77817561926713
2020-01-28,332.7072448730468,343.8586976474562
2020-01-29,342.3509216308594,342.57435355690177
2020-01-30,343.3153076171875,341.02038992881717
2020-01-31,345.24401855468756,339.3712201210383
2020-02-03,345.24401855468756,338.36639394018675
2020-02-04,351.0302429199219,336.89208190695354
2020-02-05,348.13714599609375,336.2920587464487
2020-02-06,351.9945983886719,335.4663729011645
2020-02-07,351.0302429199219,335.3367042257014
2020-02-11,353.92333984374994,334.89111587185107
2020-02-12,354.88772583007807,335.13570666831583
2020-02-13,351.9945983886719,335.07668004895095
2020-02-14,354.88772583007807,335.70738816319135
2020-02-17,352.958984375,335.87295358835036
2020-02-18,351.0302429199219,336.57985896756145
2020-02-19,349.10150146484375,336.92014076194937
2020-02-20,343.3153076171875,337.54347559895905
2020-02-21,337.52908325195307,337.7446953646995
2020-02-24,323.06353759765625,338.07818970388325
2020-02-25,323.06353759765625,337.7628154460035
2020-02-26,304.74053955078125,337.26943209509045
2020-02-27,312.4554748535156,335.7139332092811
2020-02-28,298.954345703125,334.21796596182503
2020-03-02,297.02557373046875,331.5026404672426
2020-03-03,308.5980224609375,329.25752805238517
2020-03-04,307.6336364746094,325.8083897668894
2020-03-05,312.4554748535156,323.4277908578224
2020-03-06,304.74053955078125,320.6648319722535
2020-03-09,299.9186706542969,318.619525269969
2020-03-10,303.77618408203125,316.4305709666223
2020-03-11,300.883056640625,314.3444385293151
2020-03-12,269.05889892578125,312.1685743181479
2020-03-13,273.8807373046875,310.39914938884976
2020-03-16,257.4864807128906,308.4946217797733
2020-03-17,262.3083190917969,305.2377240224041
2020-03-18,264.237060546875,302.3476417570737
2020-03-19,266.165771484375,298.43771404617655
2020-03-20,304.74053955078125,295.358593073106
2020-03-23,274.8450927734375,291.8626092262457
2020-03-24,278.70257568359375,291.64325927882146
2020-03-25,301.8474426269531,289.46932424018996
2020-03-26,311.4911193847656,289.5790648663706
2020-03-27,308.5980224609375,288.4449942260062
2020-03-30,300.883056640625,290.69821724581743
2020-03-31,312.4554748535156,290.5111582125119
2020-04-01,306.6692810058594,293.3751713976608
2020-04-02,304.74053955078125,293.63632681694526
2020-04-03,301.8474426269531,296.9848350188113
2020-04-07,317.27734375,297.30932991962163
2020-04-08,317.27734375,300.29163875261474
2020-04-09,315.3066711425781,301.395398153295
2020-04-10,319.24798583984375,304.81453831087947
2020-04-13,316.2919921875,306.0192409069623
2020-04-14,318.2626647949219,309.35988091298896
