Date,CPF.BK_forecast,CPF.BK
2020-01-02,26.39011357818866,26.61819076538086
2020-01-03,26.5203377196219,27.097795486450195
2020-01-06,27.001489250230314,26.61819076538086
2020-01-07,26.51900228643077,26.85799217224121
2020-01-08,26.84880760168054,26.85799217224121
2020-01-09,26.8191059973123,28.296812057495117
2020-01-10,28.2306894656784,28.057008743286133
2020-01-13,27.958174033013865,28.296812057495117
2020-01-14,28.257012936419265,28.057008743286133
2020-01-15,27.90576564984475,28.296812057495117
2020-01-16,28.35280515425256,29.01622200012207
2020-01-17,28.86906641142212,29.256027221679688
2020-01-21,29.283169231346594,29.256027221679688
2020-01-22,29.16402039243091,29.01622200012207
2020-01-23,29.05721869555837,29.495830535888672
2020-01-24,29.431308090673504,29.256027221679688
2020-01-27,29.28119471268971,29.01622200012207
2020-01-28,28.970164271652703,27.577404022216797
2020-01-29,27.636888097148177,28.536617279052734
2020-01-30,28.47012525383317,29.01622200012207
2020-01-31,29.06942481024726,28.77642059326172
2020-02-03,28.689649730479793,26.85799217224121
2020-02-04,26.794767720186393,28.296812057495117
2020-02-05,28.213353951025177,28.057008743286133
2020-02-06,28.135201295041977,27.577404022216797
2020-02-07,27.637033551280496,27.81720542907715
2020-02-11,27.677062217199357,27.81720542907715
2020-02-12,27.87129552673347,28.536617279052734
2020-02-13,28.38334583471158,28.296812057495117
2020-02-14,28.396566829980436,27.577404022216797
2020-02-18,27.625220413950373,27.337596893310547
2020-02-19,27.53471934555155,27.81720542907715
2020-02-20,28.046051283152195,27.577404022216797
2020-02-21,27.596313116727917,28.536617279052734
2020-02-24,28.53770153825941,27.337596893310547
2020-02-25,27.271916058964496,27.81720542907715
2020-02-26,27.82539089750077,25.898778915405273
2020-02-27,26.172017359123945,26.61819076538086
2020-02-28,26.627046281128436,25.658973693847656
2020-03-02,25.783879811852092,25.419170379638672
2020-03-03,25.566182042287476,26.37838363647461
2020-03-04,26.511283732243694,26.37838363647461
2020-03-05,26.54288657915213,27.097795486450195
2020-03-06,26.916484667350314,26.37838363647461
2020-03-09,26.514564403111763,23.21297836303711
2020-03-10,23.189197515732328,24.22015380859375
2020-03-11,24.205066721846208,23.69258689880371
2020-03-12,23.950083489368886,20.910865783691406
2020-03-13,21.163803717922264,21.102706909179688
2020-03-16,21.246445799966683,19.951650619506836
2020-03-17,19.896902669899383,19.472042083740234
2020-03-18,19.618771470362848,20.335338592529297
2020-03-19,20.48943684564447,21.006786346435547
2020-03-20,20.971838416668337,22.349685668945312
2020-03-23,22.296890926782037,20.719022750854492
2020-03-24,20.880971636029052,21.58231544494629
2020-03-25,21.402446780284826,22.541528701782227
2020-03-26,22.508652971776975,22.541528701782227
2020-03-27,22.618958872113645,23.21297836303711
2020-03-30,22.809592229744162,23.021135330200195
2020-03-31,22.92751898919992,23.30889892578125
2020-04-01,23.25957413679792,23.30889892578125
2020-04-02,23.321772954766224,24.459957122802734
2020-04-03,24.29113635831133,24.22015380859375
2020-04-07,23.888910140899,24.939565658569336
2020-04-08,25.033834806795223,24.699758529663086
2020-04-09,24.758944096578062,24.459957122802734
2020-04-13,24.394301562896057,24.699758529663086
2020-04-14,24.49104488345101,25.658973693847656
2020-04-15,25.5217694132704,25.074708938598633
2020-04-16,25.253371039360587,24.58782196044922
2020-04-17,24.610114258419753,26.04848289489746
2020-04-20,25.780783403366453,26.77881622314453
2020-04-21,26.809777065268754,26.291927337646484
2020-04-22,26.298930015942542,27.022260665893555
2020-04-23,26.964715779114368,27.022260665893555
2020-04-24,27.032264703948915,26.77881622314453
2020-04-27,26.770195247936265,27.915185928344727
2020-04-28,27.863964995984674,27.668148040771484
2020-04-29,27.73360434851166,26.92703628540039
2020-04-30,26.764040072457465,26.68000030517578
2020-05-05,26.738747983820552,26.68000030517578
2020-05-07,26.62493385500934,26.68000030517578
2020-05-08,26.815308434067138,26.92703628540039
2020-05-11,26.673073629622895,27.174074172973633
2020-05-12,26.95959961598069,28.162221908569336
2020-05-13,28.26320564604789,27.915185928344727
2020-05-14,28.18073838326393,28.409259796142578
2020-05-15,28.380115751973605,28.409259796142578
2020-05-18,28.10050071224153,28.656295776367188
2020-05-19,28.501470597674285,28.656295776367188
2020-05-20,28.61952521104442,28.656295776367188
2020-05-21,28.68636289652231,28.409259796142578
2020-05-22,28.50552545209682,27.915185928344727
2020-05-26,27.95520421623103,28.656295776367188
2020-05-27,28.71338501088097,30.879629135131836
2020-05-28,30.77973805678921,30.632593154907227
2020-05-29,30.82586844446589,31.126667022705078
2020-06-01,30.97529845966191,31.126667022705078
2020-06-02,31.15220235441841,31.62074089050293
2020-06-04,31.5719349723778,31.867778778076172
2020-06-05,31.85741247915367,32.608890533447266
2020-06-08,32.59209081791731,32.36185073852539
2020-06-09,32.078350866859516,31.62074089050293
2020-06-10,31.66204351653445,30.138519287109375
2020-06-11,29.738979780364716,30.385555267333984
2020-06-12,30.026802758379926,30.138519287109375
2020-06-15,30.15414746952243,29.39740753173828
2020-06-16,29.869176265538744,30.138519287109375
2020-06-17,30.343160233350275,30.879629135131836
2020-06-18,31.29278017237209,31.62074089050293
2020-06-19,31.62351559724277,31.867778778076172
2020-06-22,31.828381625872186,31.62074089050293
2020-06-23,31.358192996735642,31.126667022705078
2020-06-24,31.195866566149896,30.879629135131836
2020-06-25,31.063469105016353,30.385555267333984
2020-06-26,30.592854565401264,31.373703002929688
2020-06-29,31.5098332566815,31.373703002929688
2020-06-30,31.416874764372125,31.373703002929688
2020-07-01,31.45762888837043,31.126667022705078
