Date,PTTEP.BK_forecast,PTTEP.BK
2020-01-02,116.01405338158379,118.88854217529297
2020-01-03,116.10246340277875,121.21969604492188
2020-01-06,116.15415803895081,124.48330688476562
2020-01-07,116.20860436418921,124.01707458496094
2020-01-08,116.08755604029734,124.94953155517578
2020-01-09,116.13176329929881,124.01707458496094
2020-01-10,116.28591910626571,122.6183853149414
2020-01-13,122.43962478600805,122.6183853149414
2020-01-14,122.82424177837903,123.08460998535156
2020-01-15,122.57580546820189,122.15215301513672
2020-01-16,122.56950054079138,122.6183853149414
2020-01-17,122.17164959367739,123.08460998535156
2020-01-20,122.53442386998682,123.08460998535156
2020-01-21,122.70550646304659,122.6183853149414
2020-01-22,122.0902341355522,122.15215301513672
2020-01-23,122.11766906342314,120.2872314453125
2020-01-24,122.11657083016887,119.82100677490234
2020-01-27,121.95856363991781,114.22624969482422
2020-01-28,122.17589702820727,115.62493133544922
2020-01-29,122.10151659863429,117.9560775756836
2020-01-30,122.21450114096339,117.48985290527344
2020-01-31,116.83063860920798,116.0911636352539
2020-02-03,116.65555283330832,116.5573959350586
2020-02-04,117.18021133186048,116.0911636352539
2020-02-05,116.61025746322346,116.0911636352539
2020-02-06,116.29054749213782,117.02362823486328
2020-02-07,116.56616435055007,116.0911636352539
2020-02-11,116.66279514172746,117.02362823486328
2020-02-12,116.83323450716988,118.88854217529297
2020-02-13,116.32950577405495,119.12872314453125
2020-02-14,116.6540306971927,119.12872314453125
2020-02-17,116.54238470084098,119.12872314453125
2020-02-18,116.81381282951217,118.64836883544922
2020-02-19,117.21589911549586,120.08943939208984
2020-02-20,116.96947336477278,121.05015563964844
2020-02-21,121.53472775427433,120.56979370117188
2020-02-24,121.05719858854843,115.2858657836914
2020-02-25,121.29435470670364,114.32514953613281
2020-02-26,121.3224108779965,109.04121398925781
2020-02-27,121.1648988091026,110.48229217529297
2020-02-28,121.07563081455314,101.83584594726562
2020-03-02,121.04488315396335,102.79656219482422
2020-03-03,104.14283628864919,107.60014343261719
2020-03-04,103.7014144672677,105.67870330810547
2020-03-05,104.17461737661172,105.19834899902344
2020-03-06,104.19495413376906,102.31620788574219
2020-03-09,104.54418379344499,71.81349182128906
2020-03-10,104.7359640246218,67.7304458618164
2020-03-11,105.08984473790102,69.41169738769531
2020-03-12,70.03736133847391,57.6429328918457
2020-03-13,70.10336434467058,63.64740753173828
2020-03-16,70.24385829463355,55.96167755126953
2020-03-17,71.01143986460896,55.72150421142578
2020-03-18,69.71629180108056,54.76078796386719
2020-03-19,69.40562703622257,52.839351654052734
2020-03-20,69.26468539506362,60.765254974365234
2020-03-23,59.56238458908013,53.31970977783203
2020-03-24,59.9231881095739,56.922393798828125
2020-03-25,59.81349612595086,63.64740753173828
2020-03-26,59.277059817918165,64.60812377929688
2020-03-27,59.2688630358834,61.96615219116211
2020-03-30,58.85747128643159,60.52507781982422
2020-03-31,58.61205216098571,64.84830474853516
2020-04-01,63.73779483989881,64.3679428100586
2020-04-02,63.644617713517945,72.2938461303711
2020-04-03,64.95987094071243,75.89652252197266
2020-04-07,64.34837834013459,83.34207153320312
2020-04-08,63.911447970021754,79.49921417236328
2020-04-09,63.445460253913986,76.6170654296875
2020-04-10,63.39234319473887,76.6170654296875
2020-04-13,75.78557632810111,76.37688446044922
2020-04-14,76.07733838623392,77.33760070800781
2020-04-15,76.17258446096632,75.17598724365234
2020-04-16,76.62705614328556,71.09294891357422
2020-04-17,76.8760168369838,73.49473571777344
2020-04-20,76.76662510431123,75.89652252197266
2020-04-21,76.39174910057866,73.25455474853516
2020-04-22,78.6890244232932,71.81349182128906
2020-04-23,73.52080643560298,73.01437377929688
2020-04-24,77.62639095303231,73.25455474853516
2020-04-27,75.25170711448487,73.97509002685547
2020-04-28,71.19408424867066,73.97509002685547
2020-04-29,72.4722031512184,75.17598724365234
2020-04-30,72.00547323142811,81.18045806884766
2020-05-05,80.53487913561649,80.70011138916016
2020-05-07,72.21811043136063,79.259033203125
2020-05-08,77.77379434931146,79.73939514160156
2020-05-11,77.36595743820408,79.73939514160156
2020-05-12,76.27692301793029,80.70011138916016
2020-05-13,76.97742336381907,80.2197494506836
2020-05-14,76.7511065541826,78.53849792480469
2020-05-15,79.9799486538299,80.2197494506836
2020-05-18,79.8709509102904,82.14117431640625
2020-05-19,79.83639928574209,84.54296875
2020-05-20,79.6689911140328,85.02332305908203
2020-05-21,79.97852716972344,85.5036849975586
2020-05-22,79.8648121564898,81.18045806884766
2020-05-25,79.8599843185788,82.14117431640625
2020-05-26,82.07695190405782,83.5822525024414
2020-05-27,82.42464181153208,83.10189056396484
2020-05-28,82.77192616894571,80.94027709960938
2020-05-29,82.83070608044947,80.70011138916016
2020-06-01,83.00978252390935,83.34207153320312
2020-06-02,82.87375861593497,85.5036849975586
2020-06-04,82.84158868056937,89.10636138916016
2020-06-05,89.15954422435972,94.87065887451172
2020-06-08,89.09279136377911,97.51262664794922
2020-06-09,89.26853263245178,91.74832916259766
2020-06-10,89.03163861255844,92.4688720703125
2020-06-11,88.56007050519528,89.82689666748047
2020-06-12,88.99576452314017,87.42511749267578
2020-06-15,89.50561595860788,83.5822525024414
2020-06-16,84.39177608672945,90.30725860595703
2020-06-17,84.96395172273041,90.06707763671875
2020-06-18,84.75592607649637,90.30725860595703
2020-06-19,85.19270923322343,91.74832916259766
2020-06-22,85.4861511983406,91.98851013183594
2020-06-23,85.26277497777923,92.4688720703125
2020-06-24,85.29717471756356,89.10636138916016
2020-06-25,88.34980269477677,87.66529846191406
