Date,TVO.BK_forecast,TVO.BK
2020-01-02,26.058436802677566,26.544832229614258
2020-01-03,26.000993729115653,26.544832229614258
2020-01-06,25.959228064144586,26.070816040039062
2020-01-07,25.92526132979088,26.307825088500977
2020-01-08,25.953125094185534,25.83380889892578
2020-01-09,25.882561325736752,26.070816040039062
2020-01-10,25.902962751992227,26.544832229614258
2020-01-13,26.63973394918761,26.307825088500977
2020-01-14,26.701614818138136,25.5968017578125
2020-01-15,26.67134323150957,25.83380889892578
2020-01-16,26.69973717771098,25.5968017578125
2020-01-17,26.708261534603906,25.83380889892578
2020-01-20,26.70316047861444,26.307825088500977
2020-01-21,26.768127269802736,26.307825088500977
2020-01-22,26.202177776323133,26.307825088500977
2020-01-23,26.228210928813137,26.544832229614258
2020-01-24,26.25271089831902,27.01884651184082
2020-01-27,26.266689918424188,26.544832229614258
2020-01-28,26.267964912631903,26.070816040039062
2020-01-29,26.218551631297153,26.070816040039062
2020-01-30,26.187120824120978,27.2558536529541
2020-01-31,27.144489994978915,27.729869842529297
2020-02-03,26.978191412977424,26.78183937072754
2020-02-04,26.96627437407907,27.01884651184082
2020-02-05,26.998486221470017,27.2558536529541
2020-02-06,27.109951818916024,27.01884651184082
2020-02-07,27.10854093873376,27.729869842529297
2020-02-11,27.162646627325618,27.729869842529297
2020-02-12,27.683405255101814,27.966875076293945
2020-02-13,27.56133465733054,27.966875076293945
2020-02-14,27.599420355214935,27.966875076293945
2020-02-17,27.677265659755033,27.966875076293945
2020-02-18,27.692966367116295,27.729869842529297
2020-02-19,27.719591749978598,27.966875076293945
2020-02-20,27.707004494018843,27.966875076293945
2020-02-21,27.931203169092623,27.966875076293945
2020-02-24,27.959903593946898,27.01884651184082
2020-02-25,27.979774836789357,26.307825088500977
2020-02-26,28.047968521423666,25.35979461669922
2020-02-27,28.07024537800479,27.01884651184082
2020-02-28,28.109180121569736,26.070816040039062
2020-03-02,28.10012577263526,26.070816040039062
2020-03-03,26.137109091130704,26.070816040039062
2020-03-04,26.126917590220344,26.070816040039062
2020-03-05,26.221007987015426,26.307825088500977
2020-03-06,26.09208205765812,26.307825088500977
2020-03-09,26.1393945884226,25.83380889892578
2020-03-10,26.121172057897407,25.122787475585938
2020-03-11,25.973563381594634,25.35979461669922
2020-03-12,25.54711198834193,24.41176414489746
2020-03-13,25.564655833934143,24.41176414489746
2020-03-16,25.632179912056824,22.654117584228516
2020-03-17,25.67280470539636,22.458824157714844
2020-03-18,25.56465666150771,22.361175537109375
2020-03-19,25.56201013935243,22.165884017944336
2020-03-20,25.504697752954623,22.165884017944336
2020-03-23,22.260333872692158,20.7011775970459
2020-03-24,22.41037676552661,20.60352897644043
2020-03-25,22.280832744817797,20.994117736816406
2020-03-26,22.286406811617965,20.994117736816406
2020-03-27,22.294678036624827,21.18941307067871
2020-03-30,22.15984533380959,21.18941307067871
2020-03-31,22.064257334425868,21.97058868408203
2020-04-01,21.864477272577346,21.287057876586914
2020-04-02,21.761946407465363,21.677648544311523
2020-04-03,21.771218692413406,21.677648544311523
2020-04-07,21.694092934978983,22.55647087097168
2020-04-08,21.709659084170422,22.947059631347656
2020-04-09,21.591934286265534,23.337646484375
2020-04-10,21.56133525915939,23.239999771118164
2020-04-13,23.202483949979314,23.43529510498047
2020-04-14,23.213638064669695,24.118824005126953
2020-04-15,23.253136012576423,23.728235244750977
2020-04-16,23.261506532802436,23.044706344604492
2020-04-17,23.244360169645653,23.142353057861328
2020-04-20,23.22617753576567,23.239999771118164
2020-04-21,23.2006848301909,23.239999771118164
2020-04-22,23.205238971188358,23.92352867126465
2020-04-23,23.247618142075396,24.21647071838379
2020-04-24,23.269575445890577,23.92352867126465
2020-04-27,23.29552045200417,23.825881958007812
2020-04-28,23.285288673416442,23.728235244750977
2020-04-29,23.293758790341826,24.021177291870117
2020-04-30,23.31285514841549,23.92352867126465
2020-05-05,23.952024585025903,23.532941818237305
2020-05-07,23.921047848488044,23.239999771118164
2020-05-08,23.845046506494477,23.239999771118164
2020-05-11,23.871323212082554,23.43529510498047
2020-05-12,23.86100953907943,23.825881958007812
2020-05-13,23.93506958539874,23.92352867126465
2020-05-14,23.961340415027273,23.825881958007812
2020-05-15,23.76728186176984,23.825881958007812
2020-05-18,23.8161824955128,24.41176414489746
2020-05-19,23.804365453240994,25.14411735534668
2020-05-20,23.794068074743773,25.388235092163086
2020-05-21,23.800099362878143,24.899999618530273
2020-05-22,23.81981022293186,24.899999618530273
2020-05-25,23.84993061587776,25.14411735534668
2020-05-26,25.17867777426169,26.852941513061523
2020-05-27,25.241135758871817,26.608823776245117
2020-05-28,25.291526783275593,26.120588302612305
2020-05-29,25.3454510183884,25.8764705657959
2020-06-01,25.429078766431676,25.8764705657959
2020-06-02,25.47487365280871,26.608823776245117
2020-06-04,25.515265024779605,27.09705924987793
2020-06-05,27.08362271470821,27.09705924987793
2020-06-08,27.01136711338969,26.852941513061523
2020-06-09,27.005576381714977,26.608823776245117
2020-06-10,27.07176140451687,27.09705924987793
2020-06-11,27.201467802428787,27.09705924987793
2020-06-12,27.28906458032835,26.608823776245117
2020-06-15,27.323757425112145,26.852941513061523
2020-06-16,26.90578228812765,26.852941513061523
2020-06-17,26.959563754858365,26.608823776245117
2020-06-18,26.975795599242073,26.852941513061523
2020-06-19,26.97257883337437,26.120588302612305
2020-06-22,26.918297415483696,25.8764705657959
2020-06-23,26.905954614336196,26.608823776245117
2020-06-24,26.885540152595944,26.120588302612305
2020-06-25,26.106408797718178,25.632352828979492
