Date,Forcast,Actuals
2020-01-02,365.71598006794375,378.0325622558594
2020-01-03,367.6493139601189,371.28198242187494
2020-01-06,369.7609599567204,358.74520874023443
2020-01-07,367.23727906785825,364.5314025878906
2020-01-08,366.9380048153289,351.9945983886719
2020-01-09,369.4288190684256,357.78082275390625
2020-01-10,363.373701999717,359.7095642089844
2020-01-13,363.72759910603236,354.88772583007807
2020-01-14,361.3680897899212,353.92333984374994
2020-01-15,361.6203770757693,352.958984375
2020-01-16,359.7436457118147,355.8520812988281
2020-01-17,358.9379182169523,357.78082275390625
2020-01-20,359.7635636607174,355.8520812988281
2020-01-21,353.79234034636283,350.06588745117193
2020-01-22,354.8029439444417,346.2083740234375
2020-01-23,351.34457391183787,351.0302429199219
2020-01-24,349.0995018984995,350.06588745117193
2020-01-27,347.84368128041024,340.42218017578125
2020-01-28,348.0557690547812,332.7072448730468
2020-01-29,346.67102718933165,342.3509216308594
2020-01-30,342.53494187504657,343.3153076171875
2020-01-31,344.1850207170046,345.24401855468756
2020-02-03,339.8748856585553,345.24401855468756
2020-02-04,341.0666900696742,351.0302429199219
2020-02-05,334.80235373444884,348.13714599609375
2020-02-06,339.7764069558161,351.9945983886719
2020-02-07,334.60194199908983,351.0302429199219
2020-02-11,331.33081280662736,353.92333984374994
2020-02-12,333.71064408683196,354.88772583007807
2020-02-13,329.40982157852886,351.9945983886719
2020-02-14,339.6126595990154,354.88772583007807
2020-02-17,326.0519099230987,352.958984375
2020-02-18,335.85331845008113,351.0302429199219
2020-02-19,327.57516839668824,349.10150146484375
2020-02-20,323.2506301966896,343.3153076171875
2020-02-21,326.3540526834822,337.52908325195307
2020-02-24,315.377909387189,323.06353759765625
2020-02-25,326.17812426868113,323.06353759765625
2020-02-26,315.1424493340346,304.74053955078125
2020-02-27,322.81144548361226,312.4554748535156
2020-02-28,312.7570729453373,298.954345703125
2020-03-02,309.4815500876757,297.02557373046875
2020-03-03,313.54509447446617,308.5980224609375
2020-03-04,302.17828868950164,307.6336364746094
2020-03-05,306.77906217577856,312.4554748535156
2020-03-06,303.10445311271906,304.74053955078125
2020-03-09,306.77637547476024,299.9186706542969
2020-03-10,296.8034220977961,303.77618408203125
2020-03-11,296.55942722373766,300.883056640625
2020-03-12,300.7143800474296,269.05889892578125
2020-03-13,289.7489633544501,273.8807373046875
2020-03-16,285.2993420514031,257.4864807128906
2020-03-17,295.7719814162556,262.3083190917969
2020-03-18,290.7817978883986,264.237060546875
2020-03-19,288.2971448669605,266.165771484375
2020-03-20,289.19702810202125,304.74053955078125
2020-03-23,292.6358134982547,274.8450927734375
2020-03-24,290.52577346203634,278.70257568359375
2020-03-25,287.17965905017536,301.8474426269531
2020-03-26,301.2178233765917,311.4911193847656
2020-03-27,295.2343786027177,308.5980224609375
2020-03-30,302.534013964555,300.883056640625
2020-03-31,301.1491407941685,312.4554748535156
2020-04-01,302.7103160934075,306.6692810058594
2020-04-02,301.6275250811259,304.74053955078125
2020-04-03,301.9808565661742,301.8474426269531
2020-04-07,309.6141478732716,317.27734375
2020-04-08,308.9757028681288,317.27734375
2020-04-09,314.4651380675441,315.3066711425781
2020-04-10,314.8235803447551,319.24798583984375
2020-04-13,314.95973346402934,316.2919921875
2020-04-14,314.0472651557775,318.2626647949219
2020-04-15,317.3578262308547,318.2626647949219
2020-04-16,317.2488027316376,309.3946533203125
2020-04-17,322.5806720066703,322.20401000976557
2020-04-20,321.6479625373631,317.27734375
